pitch_type,zone,n
AB,1x2,5
AB,1x3,5
CH,0x1,65
CH,0x2,865
CH,0x3,645
CH,0x4,15
CH,1x0,35
CH,1x1,100
CH,1x2,3055
CH,1x3,3467
CH,1x4,90
CH,2x1,20
CH,2x2,200
CH,2x3,255
CH,2x4,15
CH,3x1,15
CH,3x2,515
CH,3x3,1165
CH,3x4,30
CH,4x1,15
CH,4x2,865
CH,4x3,1025
CH,4x4,10
CS,1x1,5
CU,0x0,25
CU,0x1,60
CU,0x2,5
CU,1x0,425
CU,1x1,1110
CU,1x2,180
CU,1x3,40
CU,1x4,5
CU,2x0,195
CU,2x1,810
CU,2x2,380
CU,2x3,30
CU,3x0,1325
CU,3x1,2420
CU,3x2,575
CU,3x3,30
CU,3x4,5
CU,4x0,460
CU,4x1,665
CU,4x2,115
CU,4x3,10
EP,0x3,5
EP,1x0,20
EP,1x1,10
EP,1x2,5
EP,1x3,25
EP,2x2,35
EP,2x4,10
EP,3x0,35
EP,3x1,25
EP,3x2,10
EP,4x0,5
FA,0x2,10
FA,0x3,5
FA,1x3,5
FA,2x3,5
FA,3x3,5
FA,4x2,5
FC,1x2,10
FC,1x3,75
FC,1x4,5
FC,2x1,10
FC,2x2,990
FC,2x3,2120
FC,2x4,290
FC,3x2,460
FC,3x3,525
FC,3x4,30
FC,4x3,20
FF,0x2,20
FF,0x3,75
FF,1x2,45
FF,1x3,6245
FF,1x4,1580
FF,2x2,110
FF,2x3,2390
FF,2x4,1435
FF,3x2,10
FF,3x3,2185
FF,3x4,1040
FF,4x2,10
FF,4x3,210
FF,4x4,55
FO,1x2,15
FO,1x3,15
FS,0x2,65
FS,0x3,15
FS,1x1,10
FS,1x2,675
FS,1x3,225
FS,2x1,30
FS,2x2,105
FS,2x3,20
FS,3x2,70
FS,3x3,5
FS,4x1,5
IN,0x2,35
IN,0x3,110
IN,0x4,20
IN,1x2,60
IN,1x3,1360
IN,1x4,510
IN,2x2,15
IN,2x3,550
IN,2x4,275
IN,3x2,15
IN,3x3,390
IN,3x4,455
IN,4x2,5
IN,4x3,70
IN,4x4,35
KC,1x0,75
KC,1x1,145
KC,1x2,25
KC,2x0,35
KC,2x1,120
KC,2x2,75
KC,3x0,345
KC,3x1,570
KC,3x2,50
KC,4x0,70
KC,4x1,120
KN,2x2,60
PO,0x1,5
PO,0x2,20
PO,0x3,30
PO,0x4,15
PO,1x2,25
PO,1x3,465
PO,1x4,130
PO,2x2,5
PO,2x3,120
PO,2x4,65
PO,3x2,5
PO,3x3,20
PO,3x4,35
PO,4x3,10
SC,2x2,10
SC,4x0,5
SC,4x2,5
SC,4x3,5
SI,0x1,40
SI,0x2,1070
SI,0x3,1470
SI,0x4,5
SI,1x1,85
SI,1x2,1040
SI,1x3,5020
SI,1x4,130
SI,2x2,10
SI,2x3,25
SI,3x1,35
SI,3x2,185
SI,3x3,715
SI,3x4,140
SI,4x1,15
SI,4x2,510
SI,4x3,1830
SI,4x4,60
SL,0x1,60
SL,0x2,70
SL,1x1,290
SL,1x2,505
SL,1x3,65
SL,1x4,5
SL,2x1,545
SL,2x2,4450
SL,2x3,625
SL,2x4,30
SL,3x0,30
SL,3x1,965
SL,3x2,3735
SL,3x3,245
SL,3x4,5
SL,4x1,75
SL,4x2,180
SL,4x3,30
ST,3x1,5
ST,3x2,10
ST,3x3,5
ST,4x1,30
ST,4x2,40
SV,3x0,30
SV,3x1,10
SV,3x2,5
