year,teamA,teamB,home,runsA,runsB
2024,LAN,ATL,A,4,1
2024,LAN,ATL,A,9,4
2024,LAN,ATL,A,6,5
2024,LAN,ATL,A,4,2
2024,LAN,ATL,A,4,2
2024,LAN,ATL,A,3,4
2024,LAN,ATL,A,2,6
2024,LAN,ATL,A,5,3
2024,LAN,ATL,A,2,3
2024,LAN,ATL,A,4,3
2024,LAN,ATL,A,8,2
2024,LAN,ATL,A,5,4
2024,LAN,ATL,A,6,7
2024,LAN,ATL,A,7,4
2024,LAN,ATL,A,7,2
2024,LAN,ATL,A,4,3
2024,LAN,ATL,A,2,8
2024,LAN,ATL,A,4,3
2024,LAN,ATL,A,1,5
2024,LAN,ATL,A,6,5
2024,LAN,ATL,A,5,8
2024,LAN,ATL,A,4,3
2024,LAN,ATL,A,4,0
2024,LAN,ATL,A,3,9
2024,LAN,ATL,A,3,4
2024,LAN,ATL,A,3,5
2024,LAN,ATL,A,6,5
2024,LAN,ATL,A,5,3
2024,LAN,ATL,A,4,5
2024,LAN,ATL,A,1,6
2024,LAN,ATL,A,4,5
2024,LAN,ATL,A,3,6
2024,LAN,ATL,A,9,3
2024,LAN,ATL,A,6,4
2024,LAN,ATL,A,3,6
2024,LAN,ATL,A,6,1
2024,LAN,ATL,A,3,2
2024,LAN,ATL,A,3,2
2024,LAN,ATL,A,6,5
2024,LAN,ATL,A,5,4
2024,LAN,ATL,A,3,12
2024,LAN,ATL,A,5,4
2024,LAN,ATL,A,3,4
2024,LAN,ATL,A,3,4
2024,LAN,ATL,A,4,3
2024,LAN,ATL,A,0,5
2024,LAN,ATL,A,1,7
2024,LAN,ATL,A,7,8
2024,LAN,ATL,A,4,2
2024,LAN,ATL,A,5,7
2024,LAN,ATL,A,4,1
2024,LAN,ATL,A,9,4
2024,LAN,ATL,A,5,4
2024,LAN,ATL,A,4,7
2024,LAN,ATL,A,3,2
2024,LAN,ATL,A,2,3
2024,LAN,ATL,A,4,1
2024,LAN,ATL,A,6,4
2024,LAN,ATL,A,8,3
2024,LAN,ATL,A,5,4
2024,LAN,ATL,A,6,3
2024,LAN,ATL,A,4,5
2024,LAN,ATL,A,5,6
2024,LAN,ATL,A,8,6
2024,LAN,ATL,A,5,1
2024,LAN,ATL,A,7,4
2024,LAN,ATL,A,4,0
2024,LAN,ATL,A,6,5
2024,LAN,ATL,A,6,4
2024,LAN,ATL,A,3,5
2024,LAN,ATL,A,5,6
2024,LAN,ATL,A,7,5
2024,LAN,ATL,A,7,8
2024,LAN,ATL,A,5,6
2024,LAN,ATL,A,8,4
2024,LAN,ATL,A,5,4
2024,LAN,ATL,A,4,2
2024,LAN,ATL,A,3,1
2024,LAN,ATL,A,2,4
2024,LAN,ATL,A,5,7
2024,LAN,ATL,A,8,5
2024,LAN,ATL,A,6,7
2024,LAN,ATL,A,6,5
2024,LAN,ATL,A,2,1
