mlb_id,retro_id,bbref_id,full_name
605152.0,bradj002,bradlje01,Jed Bradley
110625.0,barrm002,barrima01,Manuel Barrios
118336.0,martf102,martifr01,Frank Martin
111603.0,browb101,brownby01,Byron Browne
800935.0,jackj702,,John Jackson
113051.0,darir101,darinro01,Rolla Daringer
111880.0,calif101,caligfr01,Fred Caligiuri
115817.0,hernl003,hernali01,Liván Hernández
818638.0,kellw104,kellywh01,W. H. Kelly
117263.0,korcs101,korchst01,Steve Korcheck
122501.0,snydp101,snydepo01,Pop Snyder
122925.0,suckt101,suckto01,Tony Suck
117218.0,knudm001,knudsma01,Mark Knudson
594987.0,sadlc002,sadleca02,Casey Sadler
115724.0,helfh101,helfha01,Hank Helf
219594.0,ohkat001,ohkato01,Tomo Ohka
121937.0,scotj101,scottja01,Jack Scott
117827.0,littl101,littlla01,Larry Littleton
553832.0,ringt701,,Tracy Ringolsby
680911.0,millo002,milleow01,Owen Miller
117740.0,lewim001,lewisma01,Mark Lewis
407900.0,asenm001,asencmi01,Miguel Asencio
669242.0,edmat001,edmanto01,Tommy Edman
123254.0,thomk101,thomaki01,Kite Thomas
430655.0,vasqj001,vasqujo01,Jorge Vásquez
111361.0,bradn101,bradyne01,Neal Brady
121259.0,roacj101,roachjo01,John Roach
817576.0,reynb103,reynobi02,Bill Reynolds
703231.0,meekj001,meekeja01,James Meeker
660636.0,castd004,castidi02,Diego Castillo
819385.0,gileg101,gilesge01,George Giles
116963.0,kellb104,kellybi02,Billy Kelly
111391.0,branm102,brannmi01,Mike Brannock
110907.0,berga101,bergmal01,Al Bergman
115869.0,hessg101,hessege01,George Hesselbacher
119255.0,monte101,montaed01,Ed Montague
123267.0,thomb101,thomabi01,Bill Thomas
110478.0,bakej104,bakerje02,Jesse Baker
112952.0,currp102,currepe01,John Curran
123168.0,tebep102,tebeapu01,Pussy Tebeau
114307.0,fordt101,fordto01,Tom Ford
122469.0,smitb112,smithbi04,Bill Smith
123087.0,tannl101,tannele01,Lee Tannehill
112443.0,coffs101,coffmsl01,George Coffman
112040.0,carrd104,carrido01,Don Carrithers
121605.0,saboa101,saboal01,Alex Sabo
431088.0,webbb701,,Bob Webb
124589.0,woulj101,woulfji01,Jimmy Woulfe
115153.0,grift102,griffto01,Tommy Griffith
118729.0,mcgrs101,mcgresl01,Slim McGrew
113525.0,doylj101,doyleje02,Jeff Doyle
118394.0,maskl101,maskrle01,Leech Maskrey
817402.0,russf101,russefr01,Frank Russell
818695.0,jonea106,jonesa03,A. Jones
122302.0,skopj101,skopejo01,John Skopec
816448.0,xiqul101,xiquele01,Leovigildo Xiqués
818458.0,logac101,loganco01,Coley Logan
137203.0,smitd005,smithda05,Dan Smith
570666.0,cessl001,cessalu01,Luis Cessa
111852.0,cacec101,cacekcr01,Craig Cacek
113320.0,dewac101,dewalch01,Charlie Dewald
123963.0,washh101,washihe01,Herb Washington
123602.0,valdj101,valdeju01,Julio Valdez
118928.0,meled101,meledu01,Dutch Mele
430963.0,penat003,penato03,Tony Peña
123847.0,walkj102,walkuji02,Jim Walkup
124296.0,willd102,willida03,Davey Williams
,joned108,jonesda06,David Jones
116533.0,jensj101,jenseja01,Jackie Jensen
642239.0,zastr001,zastrro01,Rob Zastryzny
