year,teamID,playerID,role,days_IL,WARx,delta_WAR,delta_wins,note
1894,NY1,rusieam01,pit,30,365.64714762002507,-58.97534639032662,-58.97534639032662,
1879,CN1,whitewi01,pit,30,315.65368166156736,-50.91188413896248,-50.91188413896248,
1894,NY1,meekijo01,pit,30,301.21285519182544,-48.58271857932668,-48.58271857932668,
1894,CL4,youngcy01,pit,30,283.64669893554867,-45.749467570249784,-45.749467570249784,
1894,SLN,breitte01,pit,30,268.4207748544096,-43.29367336361445,-43.29367336361445,
1879,PRO,wardjo01,pit,30,261.9686928460883,-42.25301497517553,-42.25301497517553,
1879,BSN,bondto01,pit,30,259.2838400236133,-41.819974197356984,-41.819974197356984,
1879,BFN,galvipu01,pit,30,256.07740180192565,-41.30280674224607,-41.30280674224607,
1884,PRO,radboch01,pit,30,250.63592569324516,-40.42514930536212,-40.42514930536212,
1894,BSN,nichoki01,pit,30,245.7598853183563,-39.63869118038005,-39.63869118038005,
1894,WAS,mercewi01,pit,30,239.1552524603495,-38.5734278161854,-38.5734278161854,
1893,NY1,rusieam01,pit,30,231.34668273308358,-37.31398108598122,-37.31398108598122,
1894,SLN,hawlepi01,pit,30,230.5332882105027,-37.18278842104882,-37.18278842104882,
1879,CL2,mccorji01,pit,30,227.12077658985734,-36.63238332094473,-36.63238332094473,
1883,PRO,radboch01,pit,30,219.8949915386497,-35.46693411913704,-35.46693411913704,
1894,BRO,steined01,pit,30,216.2308596103801,-34.875945098448405,-34.875945098448405,
1879,CHN,larkite01,pit,30,212.52287733275188,-34.27788344076643,-34.27788344076643,
1891,CHN,hutchbi01,pit,30,212.16822618056645,-34.22068164202685,-34.22068164202685,
1894,BRO,kennebr01,pit,30,211.30646676041079,-34.08168818716303,-34.08168818716303,
1891,NY1,rusieam01,pit,30,203.29976678373748,-32.79028496511895,-32.79028496511895,
1894,PHI,tayloja01,pit,30,202.3622747539808,-32.63907657322271,-32.63907657322271,
1894,BSN,stiveja01,pit,30,198.64580156659565,-32.03964541396704,-32.03964541396704,
1894,CIN,dwyerfr01,pit,30,197.96668326974938,-31.930110204798286,-31.930110204798286,
1894,CL4,cuppyni01,pit,30,197.73986181965748,-31.893526099944754,-31.893526099944754,
1893,CL4,youngcy01,pit,30,196.57233312970263,-31.705215020919777,-31.705215020919777,
1894,PIT,ehretre01,pit,30,194.45723237599557,-31.3640697380638,-31.3640697380638,
1884,BFN,galvipu01,pit,30,191.51472600609281,-30.88947193646658,-30.88947193646658,
1893,BSN,nichoki01,pit,30,190.52975137253222,-30.73060506008584,-30.73060506008584,
1894,LS3,hemmige01,pit,30,190.21128479615774,-30.679239483251248,-30.679239483251248,
1893,SLN,breitte01,pit,30,186.0165918240525,-30.00267610065363,-30.00267610065363,
1894,BLN,mcmahsa01,pit,30,183.0789722836042,-29.528866497355516,-29.528866497355516,
1890,CHN,hutchbi01,pit,30,182.44601141153504,-29.426776034118554,-29.426776034118554,
1889,BSN,clarkjo01,pit,30,182.25260128183643,-29.395580851909102,-29.395580851909102,
1891,BSN,nichoki01,pit,30,180.5393087382072,-29.11924334487213,-29.11924334487213,
1893,PIT,killefr01,pit,30,180.14081604611968,-29.0549703300193,-29.0549703300193,
1883,BFN,galvipu01,pit,30,179.7065041326311,-28.98492002139211,-28.98492002139211,
1879,TRN,bradlge01,pit,30,179.49021024879897,-28.950033911096607,-28.950033911096607,
1891,BSN,clarkjo01,pit,30,174.9242356396571,-28.21358639349308,-28.21358639349308,
1890,NY1,rusieam01,pit,30,174.69769750325406,-28.177047984395816,-28.177047984395816,
1891,PIT,baldwma01,pit,30,168.05102850569443,-27.10500459769265,-27.10500459769265,
1883,BSN,whitnji01,pit,30,167.79656138776897,-27.063961514156286,-27.063961514156286,
1884,BSN,buffich01,pit,30,166.7356901501988,-26.89285325003206,-26.89285325003206,
1893,BRO,kennebr01,pit,30,163.01659182405254,-26.292998681298798,-26.292998681298798,
1913,WS1,johnswa01,pit,30,162.12368390838586,-26.148981275546106,-26.148981275546106,
1879,SR1,mccorha01,pit,30,161.17492707826977,-25.99595598036609,-25.99595598036609,
1912,WS1,johnswa01,pit,30,161.03676514069667,-25.97367179688656,-25.97367179688656,
