year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,112526,pit,CH,ahead,vsL,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1644.0,5.4,-1.33,0.6299999999999999,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2015,112526,pit,CH,behind,vsL,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1714.0,5.3,-1.07,0.62,0.002551020408163265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2015,112526,pit,CH,behind,vsR,2,1,1,2,1,1,0,0,0,2,1,1,0,0,1,0,1,1668.0,5.15,-1.135,0.76,0.00510204081632653,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5
2015,112526,pit,CH,two_strike,vsR,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1705.0,5.6,-1.03,0.74,0.002551020408163265,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,112526,pit,CH,,vsL,7,2,5,1,0,1,0,0,0,1,0,1,1,1,2,0,5,1533.142857142857,5.371428571428572,-1.1128571428571428,0.7142857142857143,0.017857142857142856,0.2857142857142857,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.14285714285714285,0.5,0.2857142857142857,0.0,0.7142857142857143
2015,112526,pit,FF,ahead,vsL,5,5,0,2,2,0,0,0,0,2,2,0,3,3,4,1,0,2200.75,5.15,-0.608,1.3559999999999999,0.012755102040816327,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.6,0.6,0.8,0.2,0.0
2015,112526,pit,FF,behind,vsL,16,10,6,12,9,3,3,2,1,9,7,2,1,1,7,3,6,2290.125,5.14375,-0.568125,1.385,0.04081632653061224,0.625,0.25,0.2222222222222222,0.3333333333333333,0.9,0.5,0.7777777777777778,0.6666666666666666,0.25,0.3,0.4375,0.1875,0.375
2015,112526,pit,FF,behind,vsR,16,11,5,9,8,1,1,0,1,8,8,0,2,2,10,1,5,2329.625,5.45625,-0.4175,1.425,0.04081632653061224,0.6875,0.1111111111111111,0.0,1.0,0.7272727272727273,0.2,1.0,0.0,0.1875,0.18181818181818182,0.625,0.0625,0.3125
2015,112526,pit,FF,two_strike,vsL,20,7,13,13,6,7,3,0,3,10,6,4,0,0,7,0,13,2254.65,5.25,-0.5735,1.359,0.05102040816326531,0.35,0.23076923076923078,0.0,0.42857142857142855,0.8571428571428571,0.5384615384615384,1.0,0.5714285714285714,0.15,0.0,0.35,0.0,0.65
2015,112526,pit,FF,two_strike,vsR,27,12,15,18,10,8,7,2,5,11,8,3,1,1,12,0,15,2252.6296296296296,5.374074074074074,-0.4522222222222222,1.384814814814815,0.06887755102040816,0.4444444444444444,0.3888888888888889,0.2,0.625,0.8333333333333334,0.5333333333333333,0.8,0.375,0.2962962962962963,0.25,0.4444444444444444,0.0,0.5555555555555556
