role,year,mlbam,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,Z_Swings,O_Swings,Z_Whiffs,O_Whiffs,CS,edge_cnt,heart_cnt,chase_cnt,group_total,usage_rate,zone_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,z_csw_rate,csw_rate,edge_rate,heart_rate,chase_rate,batter,vs_hand,z_whiff_rate,o_whiff_rate
bat,2015,112526,CH,behind,vsR,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,0.0416666666666666,0.0,,1.0,,0.0,,1.0,0.0,0.0,1.0,112526.0,vsR,,
bat,2015,112526,CH,,vsR,4,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,133.0,0.0300751879699248,0.25,0.0,0.3333333333333333,,0.0,0.0,0.25,0.25,0.0,0.3333333333333333,112526.0,vsR,,
bat,2015,112526,CU,behind,vsR,3,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,24.0,0.125,0.0,,0.6666666666666666,,0.0,,0.6666666666666666,0.0,0.0,0.6666666666666666,112526.0,vsR,,
bat,2015,112526,CU,two_strike,vsR,3,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,0.1875,0.6666666666666666,0.0,0.0,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,112526.0,vsR,,
bat,2015,112526,CU,,vsR,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0225563909774436,0.6666666666666666,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,112526.0,vsR,,
bat,2015,112526,FC,behind,vsR,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0416666666666666,1.0,0.0,,,,0.0,1.0,0.0,0.0,,112526.0,vsR,,
bat,2015,112526,FC,two_strike,vsR,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.125,0.5,0.0,0.0,,,0.0,0.0,0.5,0.0,0.0,112526.0,vsR,,
bat,2015,112526,FC,,vsR,10,9.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,133.0,0.075187969924812,0.9,0.2222222222222222,1.0,0.0,0.0,0.2222222222222222,0.5,0.1,0.1,1.0,112526.0,vsR,1.0,
bat,2015,112526,FF,ahead,vsR,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,,112526.0,vsR,,
bat,2015,112526,FF,behind,vsR,7,7.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,24.0,0.2916666666666667,1.0,0.1428571428571428,,0.0,,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.0,,112526.0,vsR,1.0,
bat,2015,112526,FF,two_strike,vsR,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.125,1.0,0.0,,,,0.0,0.0,0.0,0.0,,112526.0,vsR,,
bat,2015,112526,FF,,vsR,64,42.0,22.0,4.0,2.0,4.0,2.0,23.0,22.0,7.0,2.0,133.0,0.4812030075187969,0.65625,0.0952380952380952,0.0909090909090909,0.0,0.0,0.0952380952380952,0.453125,0.34375,0.109375,0.0909090909090909,112526.0,vsR,1.0,
bat,2015,112526,KC,behind,vsR,3,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,24.0,0.125,1.0,0.6666666666666666,,0.0,,0.6666666666666666,1.0,0.3333333333333333,0.0,,112526.0,vsR,1.0,
