year,league,role,age_group,weight,share
1876,MLB,batting,<=23,5284.0,0.2614288541460518
1876,MLB,batting,24-26,7343.0,0.36329903027904215
1876,MLB,batting,27-29,4464.0,0.22085889570552147
1876,MLB,batting,30-32,2526.0,0.1249752622204631
1876,MLB,batting,33-35,487.0,0.02409459726894914
1876,MLB,batting,36+,108.0,0.005343360379972293
1877,MLB,batting,<=23,4240.0,0.3025977733371396
1877,MLB,batting,24-26,3903.0,0.27854695974878674
1877,MLB,batting,27-29,3329.0,0.23758207250927776
1877,MLB,batting,30-32,1735.0,0.12382243791036254
1877,MLB,batting,33-35,771.0,0.05502426491578647
1877,MLB,batting,36+,34.0,0.002426491578646874
1878,MLB,batting,<=23,6437.0,0.4677712375554102
1878,MLB,batting,24-26,3257.0,0.23668338056827265
1878,MLB,batting,27-29,1973.0,0.14337620812440957
1878,MLB,batting,30-32,1363.0,0.09904803429983286
1878,MLB,batting,33-35,731.0,0.0531211394520747
1878,MLB,batting,36+,0.0,0.0
1879,MLB,batting,<=23,8972.0,0.3683994415701733
1879,MLB,batting,24-26,7371.0,0.3026607538802661
1879,MLB,batting,27-29,6033.0,0.2477211135747721
1879,MLB,batting,30-32,1527.0,0.06270017245627002
1879,MLB,batting,33-35,127.0,0.005214749117188141
1879,MLB,batting,36+,324.0,0.013303769401330377
1880,MLB,batting,<=23,10901.0,0.4357088612654383
1880,MLB,batting,24-26,7590.0,0.3033694392261881
1880,MLB,batting,27-29,4129.0,0.1650345737239698
1880,MLB,batting,30-32,1540.0,0.06155321955313962
1880,MLB,batting,33-35,501.0,0.0200247811663136
1880,MLB,batting,36+,358.0,0.014309125064950638
1881,MLB,batting,<=23,6962.0,0.27398661944116487
1881,MLB,batting,24-26,11163.0,0.4393152302243211
1881,MLB,batting,27-29,3950.0,0.15545060999606455
1881,MLB,batting,30-32,2232.0,0.08783943329397875
1881,MLB,batting,33-35,356.0,0.014010232192050373
1881,MLB,batting,36+,747.0,0.029397874852420305
1882,MLB,batting,<=23,3810.0,0.14812222999766736
1882,MLB,batting,24-26,12331.0,0.47939507036777856
1882,MLB,batting,27-29,5002.0,0.19446388305730503
1882,MLB,batting,30-32,3217.0,0.12506803514501205
1882,MLB,batting,33-35,653.0,0.025386828395925667
1882,MLB,batting,36+,709.0,0.027563953036311328
1883,MLB,batting,<=23,5553.0,0.1843135953266065
1883,MLB,batting,24-26,11018.0,0.36570631970260226
1883,MLB,batting,27-29,7926.0,0.26307753584705257
1883,MLB,batting,30-32,3244.0,0.10767392458842273
1883,MLB,batting,33-35,1648.0,0.05469994689325544
1883,MLB,batting,36+,739.0,0.024528677642060542
1884,MLB,batting,<=23,6548.0,0.18975310073026544
1884,MLB,batting,24-26,11461.0,0.3321258838530196
1884,MLB,batting,27-29,10283.0,0.29798887214558945
1884,MLB,batting,30-32,3458.0,0.10020864727019821
1884,MLB,batting,33-35,1858.0,0.05384258722615046
1884,MLB,batting,36+,900.0,0.026080908774776864
1885,MLB,batting,<=23,6830.0,0.20737187272285645
1885,MLB,batting,24-26,8101.0,0.24596186543599707
1885,MLB,batting,27-29,9465.0,0.28737551615253826
1885,MLB,batting,30-32,4731.0,0.14364221520524653
1885,MLB,batting,33-35,2917.0,0.08856570318192859
1885,MLB,batting,36+,892.0,0.027082827301433084
1886,MLB,batting,<=23,7659.0,0.21063197843902975
1886,MLB,batting,24-26,7604.0,0.20911941037346682
1886,MLB,batting,27-29,12838.0,0.3530608877399483
1886,MLB,batting,30-32,5124.0,0.1409163412353556
1886,MLB,batting,33-35,1686.0,0.04636708651889335
1886,MLB,batting,36+,1451.0,0.039904295693306197
1887,MLB,batting,<=23,7960.0,0.2048273377592507
1887,MLB,batting,24-26,8437.0,0.21710153877824095
1887,MLB,batting,27-29,14072.0,0.36210179609901705
1887,MLB,batting,30-32,5180.0,0.1332921620091606
1887,MLB,batting,33-35,1944.0,0.05002315886984715
1887,MLB,batting,36+,1269.0,0.03265400648448356
1888,MLB,batting,<=23,7963.0,0.19973913261594803
1888,MLB,batting,24-26,11093.0,0.27825018185466677
1888,MLB,batting,27-29,8904.0,0.22334261419218904
1888,MLB,batting,30-32,7988.0,0.20036621767376528
1888,MLB,batting,33-35,2159.0,0.054155065593097046
1888,MLB,batting,36+,1760.0,0.04414678807033386
1889,MLB,batting,<=23,7013.0,0.16918363408279455
1889,MLB,batting,24-26,11999.0,0.28946733571359645
1889,MLB,batting,27-29,8052.0,0.19424876966129498
1889,MLB,batting,30-32,10421.0,0.25139920872334265
1889,MLB,batting,33-35,2570.0,0.061999421017079996
1889,MLB,batting,36+,1397.0,0.03370163080189134
1890,MLB,batting,<=23,9905.0,0.2370240972504726
1890,MLB,batting,24-26,13152.0,0.31472397042283856
1890,MLB,batting,27-29,6628.0,0.1586063318098064
1890,MLB,batting,30-32,7356.0,0.1760271841872263
1890,MLB,batting,33-35,4030.0,0.09643686137500299
1890,MLB,batting,36+,718.0,0.01718155495465314
1891,MLB,batting,<=23,8058.0,0.18653641372285754
1891,MLB,batting,24-26,13018.0,0.30135654428445763
1891,MLB,batting,27-29,8134.0,0.1882957544330756
1891,MLB,batting,30-32,7771.0,0.1798925876197972
1891,MLB,batting,33-35,3989.0,0.09234223806657715
1891,MLB,batting,36+,2228.0,0.05157646187323487
1892,MLB,batting,<=23,9889.0,0.14004900086388805
1892,MLB,batting,24-26,24343.0,0.3447479854413618
1892,MLB,batting,27-29,15405.0,0.21816714109699623
1892,MLB,batting,30-32,12483.0,0.17678548668054553
