bbrefID,fgID
,
bradlje01,13166
barrima01,1000605
martifr01,1008165
brownby01,1001500
darinro01,1002986
caligfr01,1001836
hernali01,1116
kellywh01,
korchst01,1007111
snydepo01,1012254
suckto01,1012667
knudsma01,1007065
sadleca02,11209
helfha01,1005611
ohkato01,788
scottja01,1011683
littlla01,1007666
milleow01,24655
lewisma01,1007585
asencmi01,586
edmanto01,19470
thomaki01,1012982
vasqujo01,2221
bradyne01,1001329
roachjo01,1011012
reynobi02,
meekeja01,
castidi02,19906
gilesge01,
kellybi02,1006793
brannmi01,1001352
bergmal01,1000878
hessege01,1005748
montaed01,1009059
thomabi01,1012964
bakerje02,1000461
currepe01,1002888
tebeapu01,1012901
fordto01,1004225
smithbi04,1012096
tannele01,1012823
coffmsl01,1002393
carrido01,1001992
saboal01,1011356
woulfji01,1014267
griffto01,1005053
mcgresl01,1008547
doyleje02,1003463
maskrle01,1008214
russefr01,
jonesa03,
skopejo01,1012042
xiquele01,
loganco01,
smithda05,1012120
cessalu01,13345
cacekcr01,1001808
dewalch01,1003256
washihe01,1013656
valdeju01,1013312
meledu01,1008743
penato03,4573
walkuji02,1013541
willida03,1013984
jonesda06,
jenseja01,1006398
zastrro01,15094
kingly01,1006936
woodske01,1014240
doyleje01,1003462
shanagr01,1011787
stanljo02,1012414
mastnto01,5768
schneda03,23565
haynele01,
pruesea01,1010550
pettyad01,489
ramirha01,8001
santred01,1011448
riggejo01,1010956
hayesjo01,
bakerfl01,1000452
davisg04,
lowfl01,1007792
russere01,1011321
smithty01,12490
jarviro01,1006365
duffybi01,
wilsoel01,
cardele01,1001938
nippeal01,1009602
mageebi01,1007963
herrihe01,1005728
goochle01,1004849
sippto01,8280
valener01,1629
brashki01,1001361
conlojo01,1002509
longje01,1007732
mileymi01,1008864
mailsdu01,1007998
snellch02,1480
creekdo01,1202
johnsra03,1006494
mitchjo02,1009003
repkoja01,2628
durritr01,1805
woodjo03,1014225
moskoda01,2858
quinnto01,1010612
mittera01,1009013
sherled01,1011875
taylogr01,3719
vogelry01,1011
kepshku01,1006859
spearna01,6026
durbica01,
colined01,20589
sadledo01,627
montara01,1009061
yankoge01,1014320
brownra99,
schnepe01,1011597
gomezro01,12963
smithpo01,1012193
wertsjo01,1013792
klingjo02,1007009
cockmji01,1002385
simps02,
hollyed01,1005967
maglisa01,1007968
bandoch01,1000504
phillre01,1010297
granian01,
smithpe02,1012191
anderbu02,
swiglad01,1012791
mccalja99,
petrija01,10534
mcganam01,1008500
hallma02,18076
vondech99,
foytapa01,1004287
cepedor01,1002103
clarkbo02,1002267
diazed04,14710
boscajc01,2324
o'roufr01,1009838
lopezni01,19339
spencve01,1012332
colemgi01,
wrigh05,
andrewa01,1000262
farrst01,1003953
morrimi01,1009221
gremmed01,1005028
rayfofl01,1010724
mejiaal01,13877
dwyerjo01,1003609
mcilrva01,1008566
higgibo01,1005787
lattibi01,1007378
delahji01,1003157
scribtr01,15570
haighed01,1005207
pellaed01,1010133
hackesp01,
lowebr01,18882
scottji02,1011685
rescixa01,1010843
wrighal01,1014269
schmicr01,1011578
kiekhde01,10529
weaveji02,1013700
sentest01,1011748
fanweha01,1003927
junisja01,13619
nerishe01,11804
beamal01,1000707
ramoswi01,1433
reyesjo03,5559
ottogl01,21366
haliced01,1005228
pachejo01,2677
duncajo01,
satinjo01,6788
zeileto01,457
schlibi01,1011568
milleju02,8580
chaveje01,5448
howarch01,1006072
castlro01,1002074
clarkbo04,1002269
derripa01,1003224
hayesbr01,4293
pearcjo01,1175
goodmhu01,29715
lemkema01,1007516
gardn03,
harriri01,1005429
merulma01,1008797
ketchfr01,1006881
kurosry01,1007214
taylobo02,
rozekdi01,1011272
corrifr01,1002640
nilanto01,1009597
healyjo01,1005547
carrch01,1001985
longlre01,
reedhu01,1010767
giolilu01,15474
shaugsh01,1011812
olivaed02,19698
brazifr01,1001370
brillfr01,1001433
dohened01,1003356
bennesh01,1000847
gerkege01,1004633
freemco01,
dailejo01,1002929
locasti01,15124
barkean01,1000544
zimmejo02,4505
sandero02,1011421
beaslje01,20205
cantwto01,1001923
millsja01,1008958
fordha01,
lakeed01,1007260
birdky01,16618
hartmga01,
whitegu01,1013876
makosfr01,1008007
baptitr01,1000521
brownel02,
macwhke01,1007937
herreyo01,7759
kerrjo01,1006874
clarked01,1002279
heatone01,1005568
egberja01,7487
reidbi01,1010792
nevinph01,1049
whiteja02,1013879
jennith01,
colemje01,1002423
laudnti01,1007381
nearshe01,
steelji01,1012453
oteroda01,7385
margojo01,1008105
assadja01,21741
cheadda01,1002170
johnsad01,733
plaweke01,13807
smithda01,1012116
barrysh01,1000619
keenaji02,1006750
holbeaa01,1960
face02,
kuheljo01,1007202
duncafr01,
knoxcl01,1007062
danieja02,1002972
depauju01,2786
chourja01,28806
hovlijo01,1006070
slusajo01,1012071
bottari01,948
campegu01,
milesji01,1008863
ynoara01,2832
dewitsa01,
bakerde01,1000448
chrismi01,1002219
despaod01,16017
rossdi01,
cassaha01,1002049
raglafr01,1010651
mitchda01,1009000
murakma01,1009336
wortmch01,1014265
mcfarho01,1008493
ripleal01,1010979
hudlere01,1006131
carrobr01,8066
lewalde01,1007572
figuebi01,1004036
parkecl01,1009999
jacobbu02,2368
harmobo01,1005371
smith18,
cruzhe02,1002840
navada01,5450
tanneje01,1012822
greerru01,1252
glanvdo01,956
millijo01,1008944
schuspa01,10029
killied01,1006908
turnbde01,1694
hassaal01,9959
cheekha01,1002173
mclauba01,1008607
gonsast01,15492
collior02,1002459
carmich01,1001970
grievbe01,1209
bradiky01,24586
mcdanfr01,
goodwar01,1004861
wallaje01,1013550
devliji03,1003251
perezge01,1010181
browncl01,1001504
winnge01,1014138
narroje01,1009453
greyre01,1005032
walshjo03,1013577
bankhfr01,
chilepe01,1002191
cabreos01,21707
humphmi01,1006187
agostju01,1000084
o'leatr01,789
youngru01,1014391
wrighzo01,
sommepe01,1012276
stidhph01,1012531
roberna01,1620
cowgico01,7250
ormecl01,
lynchda01,1007861
wrighge02,1014278
bonneba01,1001171
boltoce01,1001152
krausja01,1007144
tsutsyo01,27459
schneje01,1011595
lopezal01,1007751
daleype01,1002945
davisdo02,1244
hardilo02,1005346
herrnjo01,1005735
adamssp02,1000064
schrepa01,1011613
waltebe01,1013582
bendech01,1000827
fultobi01,1004403
actonga01,27583
downssc01,773
thompha03,
buentja01,9494
roberco01,7705
spansbi01,1012303
mcgrima01,1008548
clackbo01,1002250
grassmi01,1004956
cregape01,1002759
bowieji01,1001257
barnebr02,629
mcivoot01,1008575
bouchme01,1001233
hayesvo01,1005531
wallere01,1013556
goarjo01,1004790
landera01,1007292
alfarja01,2388
perezda01,1010180
weavero01,1013704
eischjo01,774
irwinwa01,1006281
tisinja01,1013083
mullijo02,1009307
wittbo02,25764
dunbave01,
lowrije01,4418
graymi01,1004975
davieje01,1003032
langdo01,1007314
counscr01,52
boteda01,14593
dozied.01,1003471
claibpr01,10500
murrato02,1009400
rodrijo09,24388
willich01,1013980
hershor01,1005741
hriniwa01,1006118
mcnaugo01,1008663
mercema01,1008777
turnbsp01,16207
squirmi01,1012371
stegmda01,1012460
carrle01,1001994
pedrial01,1010121
shepara01,1011865
denniry01,9261
maddefr01,1007940
bartobo01,1000630
riddldo01,1010945
johnsni01,828
dillopa01,1003306
danksjo02,9187
kelsobi01,1006820
sprigge01,1012359
martyjo01,1008205
winkeje01,13590
zannido01,1014417
melilke01,8278
keaglgr01,1006726
adamsma01,9393
grossga01,2184
picca01,
priceda01,3184
zauchno01,1014422
washija01,
lopezhe01,1007755
daviswi01,1003087
gutieri01,387
davisbi01,1003034
woodwch01,1329
helfrty01,1005612
murphdw01,1009359
tylerky01,22092
harribo02,1005401
stins02,
wisdopa01,13602
hudsoky01,3658
delanar01,1003162
greengr01,10053
cordoma01,132
charlre01,
marenle01,1008104
rodriro02,1011112
hoggbi01,1005927
kreidry01,25867
sittibr01,19192
smithpe01,1012190
cormirh01,952
pennywi01,1010163
brownto01,1001562
bolaned01,1001138
marqubr01,21896
schacal01,1011503
stinsjo01,3219
dunnemi01,1003570
ciprifr01,1002244
burrojo01,1001732
criscda01,1002771
morilju01,3369
larosjo01,1007357
crochga01,27463
dunnto01,1003579
martelu01,8651
taylobe11,12384
