bbrefID,mlbam
,472542
,572962
,533242
,
,456789
,664660
,670448
,808910
,692343
,491538
,458387
,830831
,458290
,444362
bradlje01,605152
,445392
,801406
barrima01,110625
martifr01,118336
,809029
,450397
,685118
,477637
brownby01,111603
,594972
,819924
,827445
,800935
,441829
,665999
,801244
,448516
,595105
darinro01,113051
,702084
,437390
,453185
caligfr01,111880
,564205
,659162
,804704
,542167
,565455
,456063
,553885
,831462
,454294
,607981
,602728
,678417
,821822
,523249
hernali01,115817
,830840
,623297
,687479
,556994
,693242
,641492
,661436
,446663
,499543
kellywh01,818638
,703126
,527042
,458200
korchst01,117263
,633709
,465392
,490562
,451605
,810004
,808663
snydepo01,122501
,702990
,538195
,561554
,695805
,506771
suckto01,122925
,606241
knudsma01,117218
,669751
,702071
sadleca02,594987
,808360
,556306
,567569
,574729
,446956
,452796
helfha01,115724
,691349
,446468
ohkato01,219594
,466058
,671122
,663602
,823142
scottja01,121937
,691248
,572280
littlla01,117827
,553832
milleow01,680911
,445944
,817436
,559069
,462525
,592821
lewisma01,117740
,500077
,699059
,438655
,475467
,545859
asencmi01,407900
,456096
edmanto01,669242
,822026
,832109
,468867
,568800
,437692
,460588
,800425
,530789
thomaki01,123254
,455021
,818907
,657570
,477580
,528899
,446827
,818646
,462431
,684685
,569894
vasqujo01,430655
bradyne01,111361
,558879
,682064
,541635
,695726
,570655
roachjo01,121259
,663762
,491689
,576148
,835269
reynobi02,817576
,449843
meekeja01,703231
,461788
,836096
,814160
,506074
,554589
castidi02,660636
,466018
,473655
,446766
,699210
gilesge01,819385
,621125
,684969
,832349
,672671
,469349
kellybi02,116963
,831334
,669327
,811733
,641988
,802704
,660699
,643248
,670439
brannmi01,111391
,466571
,444637
,444643
bergmal01,110907
,555084
,829064
,689302
hessege01,115869
,472514
,542228
,436755
,687147
montaed01,119255
,571922
,701577
,823409
,811952
,555710
thomabi01,123267
,457324
bakerje02,110478
,541080
,669319
currepe01,112952
,459599
tebeapu01,123168
,822364
,826509
,816194
fordto01,114307
smithbi04,122469
tannele01,123087
,807711
,561664
,488779
,571768
,503446
,665535
coffmsl01,112443
,691497
,828554
,463183
carrido01,112040
,454201
,474171
,815110
saboal01,121605
,810924
,431088
,520828
,692429
,443683
,596044
,441714
,471689
,504187
,693233
,471375
,469529
,465050
,680900
woulfji01,124589
,807068
griffto01,115153
,810104
,830331
,830409
,815461
,442957
,666038
,673308
mcgresl01,118729
,815152
,441212
,686189
,569072
,679733
,641565
,560625
,699797
,832422
,805683
,489371
,464782
,444772
,683124
doyleje02,113525
,703608
,474126
,808368
,802719
,439444
,683530
,812750
,830597
,438264
,462710
,614183
,472653
,835300
,461113
maskrle01,118394
,695377
,693891
,453696
russefr01,817402
,571031
jonesa03,818695
,452749
skopejo01,122302
xiquele01,816448
,814144
,702571
,533192
,488979
,560006
,630052
,804850
loganco01,818458
,461582
,469598
smithda05,137203
,557870
,446679
,700832
,643298
,651005
,592714
,439112
,667480
,684588
,804647
,829690
,830337
,642241
,475369
,573099
cessalu01,570666
,445397
cacekcr01,111852
dewalch01,113320
,453143
washihe01,123963
valdeju01,123602
,542258
,678519
,607301
meledu01,118928
penato03,430963
,453402
,691947
,435757
,447723
,560018
,650527
,459627
,691784
walkuji02,123847
,570246
,442553
willida03,124296
,451789
,819800
,542893
,593774
jonesda06,
,694744
,565219
,633956
,702359
jenseja01,116533
,685006
,622006
,446895
zastrro01,642239
,688847
kingly01,117084
,683571
,558897
,556729
,447093
,809754
,593938
woodske01,124568
,804702
doyleje01,113526
,570795
shanagr01,122044
,690469
stanljo02,122671
,809343
,440106
,465336
,820942
,803099
mastnto01,457826
,833402
,703086
,472722
,663681
,680447
,450573
,457946
,462156
,694828
,830822
schneda03,676914
,592402
haynele01,819103
,830159
,607530
,830536
,607314
,676485
,820284
,555184
pruesea01,120783
,699882
,641809
,678510
,538189
,819054
,473208
,676739
,475775
,820849
,694820
,823247
,469176
,815680
,457500
,812374
,438364
,682522
pettyad01,282562
,561447
ramirha01,434670
santred01,121701
riggejo01,121198
,693538
,563650
,453711
,816319
,443604
,452086
,501991
,656485
,559472
,430896
,566155
,809273
,461816
,468632
,689955
,467975
,664572
,676514
,558281
hayesjo01,819113
bakerfl01,110472
,446797
,457635
davisg04,819859
,675455
,819510
lowfl01,117951
russere01,121564
,695426
,643427
,571955
smithty01,642094
,700320
,545525
jarviro01,116497
,555904
duffybi01,819697
,450160
,811297
wilsoel01,816518
,821637
,436443
,686816
cardele01,111982
nippeal01,119805
,559139
mageebi01,118137
,451696
,443245
,531534
,688960
,488935
,562395
,684607
,608594
,694825
,438803
herrihe01,115849
goochle01,114941
,558689
,437354
,806349
sippto01,448609
,465731
,800689
,526332
,818565
,493326
valener01,346858
,459078
,692114
brashki01,111399
conlojo01,112566
,568106
,621146
,682174
,703880
longje01,117893
,462228
,575588
,818536
,831784
mileymi01,119053
,659007
,832284
,444707
,456220
mailsdu01,118173
,435882
,823319
,442744
,698911
snellch02,421684
,562728
,452350
,822701
,440875
,667656
creekdo01,150034
,627489
johnsra03,116617
,455039
,700445
,556169
,673250
mitchjo02,119193
,564455
repkoja01,434705
,568654
durritr01,227495
,657490
,438281
,556103
,804609
,443638
,438675
woodjo03,124538
,462881
,502247
,684890
,526968
moskoda01,446290
,657625
,560100
,682025
,818315
,566814
,694565
,462118
,542964
,499772
,824285
,830002
quinnto01,120848
,558548
,822319
mittera01,119205
,529175
,622445
,801595
,808395
,607608
sherled01,122134
,648739
,566030
,563734
,804268
,445849
,808152
,656708
,441003
,822452
taylogr01,501869
,441322
,830278
,452093
,829033
,572277
vogelry01,285064
,675657
,449158
,815158
,687351
,563087
,466427
,531156
,674671
,558954
,455742
,467009
,667423
,685899
,608660
,681296
kepshku01,117006
,459421
,660992
,561612
,683756
,560266
,686223
,533379
spearna01,460621
,694992
,826156
,533394
,650805
,451736
,832426
durbica01,702332
colined01,666674
,457728
sadledo01,132620
montara01,119257
,688900
,822168
,702050
,543009
,819261
,449065
,676597
,815386
,533521
yankoge01,124645
,608690
,602108
,830598
brownra99,506627
,472122
,624398
,642554
schnepe01,121848
,463381
,650847
,440797
gomezro01,596816
smithpo01,122363
,555119
,821679
,684399
,453883
,669159
,809741
,594483
,694048
wertsjo01,124100
,681283
,676811
,567700
klingjo02,117162
,805651
,668759
,530679
,590291
,682776
cockmji01,112438
simps02,817255
,458758
hollyed01,116091
,671103
maglisa01,118140
,531204
bandoch01,110525
,569260
,643206
,543220
phillre01,120515
,666036
,668672
,466193
,456070
,606302
,678210
,452043
,695099
,442193
,683941
,450912
,440652
,831322
,446210
,656184
,676334
,803255
,813274
,543718
,534212
,686909
,821419
,703529
granian01,701552
,819877
,703130
,547924
,443824
,592405
,828445
,443791
,457286
,454301
,673131
,690520
smithpe02,122443
,461114
,570661
,665185
anderbu02,820711
swiglad01,123056
mccalja99,492661
petrija01,502593
,702214
mcganam01,118683
hallma02,664180
,642706
,449332
,819309
vondech99,
,818726
,452660
,439095
,670868
foytapa01,114369
,444021
,572878
,441422
,454586
,806399
,830043
,831582
cepedor01,112157
,501189
,622178
,622762
,561902
clarkbo02,112365
,668460
,702371
,826545
,520951
,683390
,500782
,435972
,801550
diazed04,621242
boscajc01,400268
,437768
o'roufr01,120053
,684421
,439164
,475755
lopezni01,670032
,559339
spencve01,122587
,556747
,627513
colemgi01,820032
,608283
,699086
,673710
,554618
,687654
,439187
,605654
,572825
,673282
,450967
,518784
,649420
,660845
,441336
wrigh05,816468
,666574
,815428
,805995
andrewa01,110274
farrst01,114017
,800966
,669031
,502251
,681908
,436309
,442625
,514970
morrimi01,119411
,666713
gremmed01,115124
,443382
,584374
,518464
,528078
,435941
,556217
,456013
,467816
,695719
,453579
,836053
,473220
,452809
,519279
,444964
rayfofl01,120958
,545575
,466812
mejiaal01,622270
,467971
,447767
,473337
,489122
,472606
,694648
,463547
,501755
,813617
,442472
dwyerjo01,113674
,541626
,693734
,831241
,670706
,445002
mcilrva01,118750
,687775
,825690
,650368
,440789
,813554
,438952
higgibo01,115912
,667521
,663889
lattibi01,117534
,813686
,556068
,820177
,543722
,672415
,820005
,443621
,682733
,836162
,570806
,815042
delahji01,113220
,459322
,672762
,518672
,693536
scribtr01,644428
,827891
,450281
,819141
,467093
,439899
,807738
,605380
haighed01,115312
pellaed01,120361
,642369
,470200
,473786
,531693
,441536
hackesp01,819240
,673749
,832224
,488966
lowebr01,664040
scottji02,121935
,657715
,572940
,436589
,807797
,688305
,452785
,593940
,605448
,814835
rescixa01,121080
,557350
,446542
,446266
,470128
,599672
,678627
,453862
wrighal01,124590
,688538
,812436
,608034
schmicr01,121840
,681530
kiekhde01,518883
weaveji02,124005
,563579
,571723
sentest01,122003
,440942
,808863
,665984
,660213
,561523
fanweha01,114004
,469891
,684243
,829701
,442807
,679779
,471038
junisja01,596001
,823285
,457202
,662107
,700806
,805917
,681747
,802573
,694127
nerishe01,593576
,455485
,703672
,531244
,558809
,642617
,452703
,688262
,821291
beamal01,110726
,681855
ramoswi01,467092
,800086
reyesjo03,457456
,685321
ottogl01,657248
,444065
,452857
,564325
,572837
,458583
,674039
,543502
,599648
,670279
haliced01,115333
,467449
pachejo01,457574
,703186
,669937
,473718
,808323
,372174
,685487
duncajo01,819687
,439126
,669329
,470335
,438762
,598624
,444892
,815328
,464553
satinjo01,543744
,452747
zeileto01,124755
,563478
,543682
,806067
,451472
,695608
,815423
,445690
,493116
,830411
