playerID,bbrefID
aardsda01,aardsda01
aaronha01,aaronha01
aaronto01,aaronto01
aasedo01,aasedo01
abadan01,abadan01
abadfe01,abadfe01
abadijo01,abadijo01
abbated01,abbated01
abbeybe01,abbeybe01
abbeych01,abbeych01
abbotan01,abbotan01
abbotco01,abbotco01
abbotda01,abbotda01
abbotfr01,abbotfr01
abbotgl01,abbotgl01
abbotje01,abbotje01
abbotji01,abbotji01
abbotku01,abbotku01
abbotky01,abbotky01
abbotod01,abbotod01
abbotpa01,abbotpa01
aberal01,aberal01
abercda01,abercda01
abercre01,abercre01
abernbi01,abernbi01
abernbr01,abernbr01
abernte01,abernte01
abernte02,abernte02
abernwo01,abernwo01
aberscl01,aberscl01
ablesha01,ablesha01
abnersh01,abnersh01
abramca01,abramca01
abramcj01,abramcj01
abramge01,abramge01
abregjo01,abregjo01
abreual01,abreual01
abreubo01,abreubo01
abreubr01,abreubr01
abreujo01,abreujo01
abreujo02,abreujo02
abreuju01,abreuju01
abreuto01,abreuto01
abreuwi02,abreuwi02
abreuwi01,abreuwi01
abstebi01,abstebi01
accarje01,accarje01
acevedo01,acevedo01
acevejo01,acevejo01
aceveju01,aceveju01
aceveal01,aceveal01
achteaj01,achteaj01
ackerji01,ackerji01
ackerto01,ackerto01
ackledu01,ackledu01
acklefr01,acklefr01
acostcy01,acostcy01
acosted01,acosted01
acostjo01,acostjo01
acostma01,acostma01
acostme01,acostme01
acrema01,acrema01
actama99,actama99
actonga01,actonga01
acunalu01,acunajo01
acunaro01,acunaro01
adairbi99,adairbi99
adairje01,adairje01
adairji01,adairji01
adamja01,adamja01
adamecr01,adamecr01
adamewi01,adamewi01
adamsac01,adamsac01
adamsau01,adamsau01
adamsau02,adamsau02
adamsba01,adamsba01
adamsbe01,adamsbe01
adamsbo02,adamsbo02
adamsbo01,adamsbo01
adamsbo04,adamsbo04
adamsbo03,adamsbo03
adamsbu01,adamsbu01
adamsch01,adamsch01
adamsda01,adamsda01
adamsda02,adamsda02
adamsdi01,adamsdi01
adamsdo99,
adamsdo01,adamsdo01
adamsge01,adamsge01
adamsgl01,adamsgl01
adamshe01,adamshe01
adamsji01,adamsji01
adamsjo01,adamsjo01
adamsjo03,adamsjo03
adamska01,adamska01
adamsla01,adamsla01
adamsma01,adamsma01
adamsmi03,adamsmi03
adamsmi02,adamsmi02
adamsre01,adamsre01
adamsri01,adamsri01
adamsri02,adamsri02
adamsri03,adamsri03
adamsru01,adamsru01
adamsry01,adamsry01
adamssp01,adamssp01
adamssp02,adamssp02
adamste01,adamste01
adamswi01,adamswi01
adamswi02,adamswi02
adamsjo02,adamsjo02
adamsmi01,adamsmi01
adcocjo01,adcocjo01
adcocna01,adcocna01
adcocty01,adcocty01
addisbo01,addisbo01
adducji01,adducji01
adducji02,adducji02
addybo01,addybo01
adelljo01,adelljo01
adenhni01,adenhni01
aderhmo01,aderhmo01
adkinde01,adkinde01
adkindi01,adkindi01
adkingr01,adkingr01
adkinjo01,adkinjo01
adkindo01,adkindo01
adkinst01,adkinst01
adlemti01,adlemti01
adlesda01,adlesda01
adonjo01,adonjo01
adriaeh01,adriaeh01
afenitr01,afenitr01
affelje01,affelje01
agbaybe01,agbaybe01
ageeto01,ageeto01
agganha01,agganha01
aglerjo01,aglerjo01
agnewsa01,agnewsa01
agostju01,agostju01
agrazda01,agrazda01
aguaylu01,aguaylu01
aguiaju01,aguiaju01
aguilch01,aguilch01
aguilje01,aguilje01
aguilmi01,aguilmi01
aguilry01,aguilry01
aguilri01,aguilri01
aguirha01,aguirha01
ahearch01,ahearch01
ahearpa01,ahearpa01
ahmedni01,ahmedni01
aikenwi01,aikenwi01
aingeda01,aingeda01
ainsmed01,ainsmed01
ainswku01,ainswku01
aitchra01,aitchra01
aitonge01,aitonge01
akejo01,akejo01
akerja01,akerja01
akerfda01,akerfda01
akersbi01,akersbi01
akersje01,akersje01
akinke01,akinke01
akiyash01,akiyash01
alanirj01,alanirj01
albagi01,albagi01
albaljo01,albaljo01
albanjo01,albanjo01
alberjo01,alberjo01
alberan01,alberan01
alberma01,alberma01
alberha01,alberha01
alberbu01,alberbu01
albercy01,albercy01
albergu01,albergu01
albieoz01,albieoz01
albosed01,albosed01
