playerID,retroID
aardsda01,aardd001
aaronha01,aaroh101
aaronto01,aarot101
aasedo01,aased001
abadan01,abada001
abadfe01,abadf001
abadijo01,abadj101
abbated01,abbae101
abbeybe01,abbeb101
abbeych01,abbec101
abbotan01,abboa001
abbotco01,abboc001
abbotda01,abbod101
abbotfr01,abbof101
abbotgl01,abbog001
abbotje01,abboj002
abbotji01,abboj001
abbotku01,abbok002
abbotky01,abbok001
abbotod01,abboo101
abbotpa01,abbop001
aberal01,abera101
abercda01,aberd101
abercre01,aberr001
abernbi01,aberb101
abernbr01,aberb001
abernte01,abert102
abernte02,abert101
abernwo01,aberw101
aberscl01,aberc101
ablesha01,ableh101
abnersh01,abnes001
abramca01,abrac101
abramcj01,abrac001
abramge01,abrag101
abregjo01,abrej001
abreual01,abrea001
abreubo01,abreb001
abreubr01,abreb002
abreujo01,abrej101
abreujo02,abrej003
abreuju01,abrej002
abreuto01,abret001
abreuwi02,abrew002
abreuwi01,abrew001
abstebi01,abstb101
accarje01,accaj001
acevedo01,acevd001
acevejo01,acevj002
aceveju01,acevj001
aceveal01,aceva001
achteaj01,achta001
ackerji01,ackej001
ackerto01,acket101
ackledu01,ackld001
acklefr01,acklf101
acostcy01,acosc101
acosted01,acose101
acostjo01,acosj101
acostma01,acosm001
acostme01,acosm101
acrema01,acrem001
actama99,actam801
actonga01,actog001
acunalu01,acunl001
acunaro01,acunr001
adairbi99,adaib801
adairje01,adaij101
adairji01,adaij102
adamja01,adamj002
adamecr01,adamc001
adamewi01,adamw002
adamsac01,adama101
adamsau01,adama001
adamsau02,adama002
adamsba01,adamb104
adamsbe01,adamb106
adamsbo02,adamb102
adamsbo01,adamb107
adamsbo04,adamb105
adamsbo03,adamb103
adamsbu01,adamb101
adamsch01,adamc002
adamsda01,adamd103
adamsda02,adamd001
adamsdi01,adamd102
adamsdo99,
adamsdo01,adamd101
adamsge01,adamg102
adamsgl01,adamg101
adamshe01,adamh101
adamsji01,adamj101
adamsjo01,adamj102
adamsjo03,adamj003
adamska01,adamk101
adamsla01,adaml001
adamsma01,adamm002
adamsmi03,adamm001
adamsmi02,adamm102
adamsre01,adamr101
adamsri01,adamr102
adamsri02,adamr001
adamsri03,adamr004
adamsru01,adamr002
adamsry01,adamr003
adamssp01,adams101
adamssp02,adams102
adamste01,adamt001
adamswi01,adamw101
adamswi02,adamw001
adamsjo02,adamj001
adamsmi01,adamm101
adcocjo01,adcoj101
adcocna01,adcon001
adcocty01,adcot001
addisbo01,addib101
adducji01,adduj001
adducji02,adduj002
addybo01,addyb101
adelljo01,adelj001
adenhni01,adenn001
aderhmo01,aderm101
adkinde01,adkid103
adkindi01,adkid101
adkingr01,adkig101
adkinjo01,adkij001
adkindo01,adkid102
adkinst01,adkis001
adlemti01,adlet001
adlesda01,adled101
adonjo01,adonj001
adriaeh01,adrie001
afenitr01,afent001
affelje01,affej001
agbaybe01,agbab001
ageeto01,ageet101
agganha01,aggah101
aglerjo01,aglej101
agnewsa01,agnes101
agostju01,agosj001
agrazda01,agrad001
aguaylu01,agual001
aguiaju01,aguij002
aguilch01,aguic001
aguilje01,aguij001
aguilmi01,aguim001
aguilry01,aguir002
aguilri01,aguir001
aguirha01,aguih101
ahearch01,aheac101
ahearpa01,aheap001
ahmedni01,ahmen001
aikenwi01,aikew001
aingeda01,aingd101
ainsmed01,ainse101
ainswku01,ainsk001
aitchra01,aitcr101
aitonge01,aitog101
akejo01,ake-j101
akerja01,akerj102
akerfda01,akerd001
akersbi01,akerb101
akersje01,akerj101
akinke01,akink001
akiyash01,akiys001
alanirj01,alanr001
albagi01,albag001
albaljo01,albaj001
albanjo01,albaj101
