retroID,mlbam
,472542
,572962
,533242
,
,456789
,664660
,670448
,808910
,692343
,491538
,458387
,830831
,458290
,444362
bradj002,605152
,445392
,801406
barrm002,110625
martf102,118336
,809029
,450397
,685118
,477637
browb101,111603
,594972
,819924
,827445
jackj702,800935
,441829
,665999
,801244
,448516
,595105
darir101,113051
,702084
,437390
,453185
calif101,111880
,564205
,659162
,804704
,542167
,565455
,456063
,553885
,831462
,454294
,607981
,602728
,678417
,821822
,523249
hernl003,115817
,830840
,623297
,687479
,556994
,693242
,641492
,661436
,446663
,499543
kellw104,818638
,703126
,527042
,458200
korcs101,117263
,633709
cookw901,
,465392
,490562
,451605
,810004
,808663
snydp101,122501
,702990
,538195
westu901,
,561554
,695805
,506771
suckt101,122925
,606241
knudm001,117218
,669751
,702071
sadlc002,594987
,808360
,556306
,567569
,574729
,446956
,452796
helfh101,115724
,691349
,446468
ohkat001,219594
,466058
,671122
,663602
,823142
scotj101,121937
,691248
,572280
littl101,117827
ringt701,553832
millo002,680911
,445944
,817436
,559069
,462525
,592821
lewim001,117740
,500077
,699059
,438655
,475467
,545859
asenm001,407900
,456096
edmat001,669242
,822026
,832109
,468867
,568800
,437692
,460588
,800425
,530789
thomk101,123254
,455021
,818907
,657570
,477580
,528899
,446827
,818646
,462431
,684685
,569894
vasqj001,430655
bradn101,111361
,558879
,682064
,541635
,695726
,570655
roacj101,121259
,663762
,491689
,576148
,835269
reynb103,817576
,449843
meekj001,703231
,461788
,836096
,814160
,506074
,554589
castd004,660636
,466018
,473655
,446766
,699210
gileg101,819385
,621125
,684969
,832349
,672671
,469349
kellb104,116963
,831334
,669327
,811733
,641988
,802704
,660699
,643248
,670439
branm102,111391
,466571
,444637
,444643
berga101,110907
,555084
,829064
,689302
hessg101,115869
,472514
,542228
,436755
,687147
monte101,119255
,571922
,701577
,823409
,811952
,555710
thomb101,123267
,457324
cookl101,
bakej104,110478
,541080
,669319
currp102,112952
,459599
tebep102,123168
,822364
,826509
,816194
fordt101,114307
smitb112,122469
tannl101,123087
,807711
,561664
,488779
,571768
,503446
,665535
coffs101,112443
,691497
,828554
,463183
carrd104,112040
,454201
,474171
,815110
saboa101,121605
,810924
webbb701,431088
,520828
,692429
,443683
,596044
,441714
,471689
,504187
,693233
,471375
,469529
,465050
,680900
woulj101,124589
,807068
grift102,115153
,810104
,830331
,830409
,815461
,442957
,666038
,673308
mcgrs101,118729
,815152
,441212
,686189
,569072
,679733
,641565
,560625
,699797
,832422
,805683
,489371
,464782
,444772
,683124
doylj101,113525
,703608
,474126
,808368
,802719
,439444
,683530
,812750
,830597
,438264
,462710
,614183
,472653
,835300
,461113
maskl101,118394
,695377
,693891
,453696
russf101,817402
,571031
jonea106,818695
,452749
skopj101,122302
xiqul101,816448
,814144
smitg901,
,702571
,533192
,488979
,560006
,630052
,804850
logac101,818458
,461582
,469598
smitd005,137203
,557870
,446679
,700832
,643298
,651005
,592714
,439112
,667480
,684588
,804647
,829690
,830337
,642241
,475369
,573099
cessl001,570666
,445397
cacec101,111852
dewac101,113320
,453143
washh101,123963
valdj101,123602
,542258
,678519
,607301
meled101,118928
penat003,430963
,453402
,691947
,435757
,447723
,560018
,650527
,459627
,691784
walkj102,123847
,570246
,442553
willd102,124296
,451789
,819800
,542893
,593774
joned108,
,694744
,565219
,633956
,702359
jensj101,116533
,685006
,622006
,446895
zastr001,642239
,688847
kingl102,117084
,683571
,558897
,556729
,447093
,809754
,593938
woodk001,124568
,804702
doylj105,113526
,570795
shang101,122044
,690469
stanj103,122671
,809343
,440106
,465336
,820942
,803099
mastt001,457826
,833402
,703086
,472722
,663681
,680447
,450573
,457946
,462156
,694828
,830822
schnd001,676914
,592402
blanf901,
haynl101,819103
esheg901,
,830159
,607530
,830536
,607314
,676485
,820284
,555184
pruee101,120783
,699882
,641809
,678510
,538189
,819054
,473208
,676739
,475775
,820849
,694820
,823247
,469176
,815680
,457500
,812374
,438364
,682522
petta002,282562
,561447
ramih003,434670
sante101,121701
riggj101,121198
,693538
,563650
,453711
,816319
,443604
,452086
,501991
,656485
,559472
,430896
,566155
,809273
,461816
,468632
,689955
,467975
,664572
,676514
,558281
hayej104,819113
bakef103,110472
,446797
,457635
davig104,819859
,675455
forbf101,819510
low-f101,117951
russr102,121564
,695426
,643427
,571955
smitt002,642094
,700320
,545525
jarvr102,116497
,555904
duffb102,819697
,450160
,811297
wilse103,816518
,821637
,436443
,686816
cardl101,111982
nippa001,119805
,559139
mageb101,118137
,451696
,443245
,531534
,688960
,488935
,562395
,684607
,608594
,694825
,438803
herrh101,115849
goocl101,114941
,558689
,437354
,806349
sippt001,448609
,465731
,800689
,526332
,818565
,493326
valee002,346858
,459078
,692114
brask101,111399
conlj101,112566
,568106
,621146
,682174
,703880
longj101,117893
,462228
,575588
,818536
,831784
milem101,119053
,659007
,832284
,444707
,456220
mailw101,118173
,435882
,823319
,442744
,698911
snelc001,421684
,562728
,452350
,822701
,440875
,667656
creed001,150034
,627489
johnr101,116617
,455039
,700445
,556169
,673250
mitcj001,119193
,564455
repkj001,434705
,568654
durrt001,227495
,657490
,438281
,556103
,804609
,443638
,438675
woodj101,124538
,462881
,502247
,684890
,526968
moskd001,446290
,657625
,560100
,682025
,818315
,566814
,694565
,462118
,542964
,499772
,824285
,830002
quint101,120848
,558548
,822319
mittr101,119205
,529175
,622445
,801595
,808395
,607608
shere101,122134
,648739
,566030
,563734
,804268
,445849
,808152
,656708
,441003
,822452
taylg001,501869
,441322
homob901,
,830278
,452093
,829033
,572277
voger001,285064
,675657
,449158
,815158
,687351
,563087
,466427
,531156
,674671
,558954
,455742
,467009
,667423
,685899
,608660
,681296
kepsk001,117006
,459421
,660992
,561612
,683756
,560266
,686223
,533379
spean001,460621
,694992
,826156
,533394
,650805
,451736
,832426
,702332
colie001,666674
,457728
sadld001,132620
montr001,119257
,688900
,822168
,702050
,543009
grosu101,819261
,449065
,676597
,815386
,533521
yankg101,124645
,608690
,602108
,830598
browr103,506627
,472122
,624398
,642554
schnp101,121848
,463381
,650847
,440797
gomer002,596816
smitp101,122363
,555119
,821679
,684399
,453883
,669159
,809741
,594483
,694048
wertj101,124100
,681283
,676811
,567700
klinj102,117162
,805651
,668759
,530679
,590291
,682776
cockj101,112438
simpu101,817255
,458758
holle102,116091
,671103
magls101,118140
,531204
bandc001,110525
,569260
,643206
,543220
philr101,120515
,666036
,668672
,466193
,456070
,606302
,678210
,452043
,695099
,442193
,683941
,450912
,440652
,831322
,446210
,656184
,676334
,803255
,813274
,543718
,534212
,686909
,821419
,703529
,701552
,819877
,703130
,547924
,443824
,592405
,828445
,443791
,457286
,454301
,673131
,690520
smitp001,122443
,461114
,570661
,665185
andeb105,820711
swiga101,123056
mccaj801,492661
petrj001,502593
,702214
mcgaa101,118683
biblj901,
hallm002,664180
,642706
,449332
,819309
vondc801,
johns107,818726
,452660
,439095
,670868
foytp101,114369
,444021
,572878
,441422
,454586
,806399
,830043
,831582
cepeo101,112157
,501189
,622178
,622762
,561902
clarb103,112365
,668460
,702371
,826545
,520951
,683390
,500782
,435972
,801550
diaze006,621242
boscj001,400268
,437768
orouf101,120053
,684421
,439164
,475755
lopen001,670032
,559339
spenv101,122587
,556747
,627513
coleg102,820032
,608283
,699086
,673710
,554618
,687654
,439187
,605654
,572825
,673282
,450967
,518784
,649420
,660845
,441336
,816468
,666574
,815428
,805995
andrw102,110274
farrs001,114017
,800966
,669031
,502251
,681908
,436309
,442625
,514970
morrm101,119411
,666713
greme101,115124
,443382
,584374
,518464
,528078
,435941
,556217
,456013
,467816
,695719
,453579
,836053
,473220
,452809
,519279
,444964
rayff001,120958
,545575
,466812
mejia002,622270
,467971
,447767
,473337
,489122
,472606
,694648
,463547
,501755
,813617
,442472
dwyej102,113674
,541626
,693734
,831241
,670706
,445002
mcilv101,118750
,687775
,825690
,650368
,440789
,813554
,438952
higgb102,115912
,667521
,663889
lattb101,117534
,813686
,556068
,820177
,543722
,672415
concr101,820005
,443621
,682733
,836162
,570806
,815042
delaj103,113220
,459322
,672762
,518672
,693536
scrit001,644428
,827891
,450281
,819141
,467093
,439899
,807738
,605380
haige101,115312
pelle101,120361
,642369
,470200
,473786
,531693
,441536
hacks102,819240
,673749
,832224
,488966
loweb001,664040
scotj103,121935
,657715
,572940
,436589
,807797
,688305
,452785
,593940
,605448
,814835
rescx101,121080
,557350
,446542
,446266
,470128
,599672
,678627
,453862
wriga102,124590
,688538
,812436
,608034
schmc101,121840
,681530
kiekd001,518883
weavj102,124005
,563579
,571723
sents101,122003
,440942
,808863
,665984
,660213
,561523
fanwh101,114004
,469891
,684243
,829701
,442807
,679779
,471038
junij001,596001
,823285
,457202
,662107
,700806
,805917
,681747
,802573
,694127
nerih001,593576
,455485
,703672
,531244
,558809
mcavg901,
,642617
,452703
,688262
,821291
beama101,110726
,681855
ramow001,467092
,800086
reyej003,457456
,685321
ottog001,657248
,444065
,452857
,564325
,572837
,458583
,674039
,543502
,599648
,670279
halie101,115333
,467449
pachj001,457574
,703186
,669937
,473718
,808323
,372174
,685487
duncj102,819687
,439126
,669329
,470335
,438762
,598624
,444892
,815328
,464553
satij001,543744
,452747
zeilt001,124755
,563478
,543682
,806067
,451472
,695608
,815423
,445690
,493116
,830411
schlb101,121820
,444800
,458167
,543153
,493634
,442101
millj006,502522
,803431
chavj001,445926
,686918
,667276
,824183
howac001,116199
,468638
castr101,112126
,476765
,475339
,553857
clarb002,112339
