player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa
milb_tmp:carlos_perez:2024,2024,MiLB,OAK,Carlos Perez,0.259803921,0.344017094,0.544117647,0.3764504324445377,105.2712238723936,0.104700854,0.17094017,0.284313726,0.258169934,468
milb_tmp:elliot_soto:2024,2024,MiLB,LAA,Elliot Soto,0.22361809,0.322510822,0.306532663,0.2964537987998664,61.962454613957455,0.123931623,0.239316239,0.082914573,0.297202797,468
milb_tmp:jake_lamb:2024,2024,MiLB,PIT,Jake Lamb,0.264044943,0.350241545,0.393258426,0.3351386328683282,96.19429902219524,0.103864734,0.20289855,0.129213483,0.319852941,414
milb_tmp:erik_gonzalez:2024,2024,MiLB,CIN,Erik Gonzalez,0.245977011,0.286637931,0.347126436,0.2857383176170546,63.75060917047204,0.051724137,0.204741379,0.101149425,0.299703264,464
milb_tmp:jack_lopez:2024,2024,MiLB,LAA,Jack Lopez,0.273901808,0.332552693,0.42118863,0.3349260958631368,86.13681754359433,0.071759259,0.256944444,0.147286822,0.350746268,432
milb_tmp:albert_almora_jr.:2024,2024,MiLB,ARI,Albert Almora Jr.,0.292307692,0.348511383,0.438461538,0.3499791799618776,89.12663428257889,0.072916666,0.140625,0.146153846,0.329493087,576
milb_tmp:andrew_velazquez:2024,2024,MiLB,ATL,Andrew Velazquez,0.242424242,0.297644539,0.393939393,0.3080843861914804,80.62354422391752,0.071881606,0.33192389,0.151515151,0.339768339,473
milb_tmp:jamie_westbrook:2024,2024,MiLB,BOS,Jamie Westbrook,0.276536312,0.369047619,0.44972067,0.366273222934632,114.55357021947545,0.112941176,0.169411764,0.173184358,0.310714285,425
milb_tmp:mark_payton:2024,2024,MiLB,CHW,Mark Payton,0.309352517,0.383157894,0.462829736,0.3771899406668506,114.75667988320528,0.110647181,0.169102296,0.153477219,0.359516616,479
milb_tmp:sergio_alcantara:2024,2024,MiLB,ARI,Sergio Alcantara,0.271393643,0.388211382,0.415647921,0.367659060935664,101.59427275012771,0.158536585,0.184959349,0.144254278,0.329073482,492
milb_tmp:jason_vosler:2024,2024,MiLB,SEA,Jason Vosler,0.302575107,0.370936902,0.572961373,0.4018003590033885,133.19169878418273,0.087786259,0.215648854,0.270386266,0.337423312,524
milb_tmp:eddy_alvarez:2024,2024,MiLB,BOS,Eddy Alvarez,0.24671916,0.348993288,0.461942257,0.3598312300857015,110.42480085386848,0.107929515,0.240088105,0.215223097,0.294573643,454
milb_tmp:michael_chavis:2024,2024,MiLB,SEA,Michael Chavis,0.257352941,0.332603938,0.44362745,0.3415954824586272,93.34346931333889,0.078774617,0.216630196,0.186274509,0.301694915,457
milb_tmp:myles_straw:2024,2024,MiLB,CLE,Myles Straw,0.239631336,0.321138211,0.329493087,0.2999828128182158,74.41390623032679,0.107070707,0.191919191,0.089861751,0.297058823,495
milb_tmp:josh_lester:2024,2024,MiLB,KCR,Josh Lester,0.259079903,0.32688172,0.450363196,0.3509287691885425,114.3990314500816,0.090128755,0.197424892,0.191283293,0.287096774,466
milb_tmp:scott_kingery:2024,2024,MiLB,PHI,Scott Kingery,0.267818574,0.316,0.48812095,0.3484917989969253,102.5969417703275,0.067326732,0.273267326,0.220302376,0.326732673,505
milb_tmp:hoy_park:2024,2024,MiLB,OAK,Hoy Park,0.254189944,0.373549883,0.396648044,0.353254644538081,90.69597263726756,0.15437788,0.225806451,0.1424581,0.322834645,434
milb_tmp:kyle_garlick:2024,2024,MiLB,ARI,Kyle Garlick,0.237037037,0.329052969,0.444444444,0.3381520996170659,81.69499763807985,0.113964686,0.27447833,0.207407407,0.288184438,623
milb_tmp:brett_sullivan:2024,2024,MiLB,SDP,Brett Sullivan,0.262626262,0.346578366,0.484848484,0.3610745399399141,95.48550853117644,0.10816777,0.132450331,0.222222222,0.269349845,453
milb_tmp:edwin_rios:2024,2024,MiLB,CIN,Edwin Rios,0.286111111,0.384798099,0.547222222,0.4034453708874552,139.19081642549523,0.133016627,0.277909738,0.261111111,0.363228699,421
milb_tmp:travis_blankenhorn:2024,2024,MiLB,WSN,Travis Blankenhorn,0.238095238,0.32150776,0.498746867,0.3550863301753997,108.67148529789596,0.090507726,0.260485651,0.260651629,0.26848249,453
milb_tmp:p.j._higgins:2024,2024,MiLB,CIN,P.J. Higgins,0.258754863,0.320422535,0.385214007,0.31755337324092,84.14135316931144,0.079225352,0.246478873,0.126459144,0.331521739,568
milb_tmp:brendon_davis:2024,2024,MiLB,LAD,Brendon Davis,0.228915662,0.346076458,0.36626506,0.3340965052766184,107.45764922647857,0.128772635,0.231388329,0.137349398,0.288135593,497
milb_tmp:trenton_brooks:2024,2024,MiLB,SFG,Trenton Brooks,0.302114803,0.409876543,0.453172205,0.3892495227448734,132.40359839984384,0.154791154,0.149877149,0.151057402,0.335820895,407
milb_tmp:cooper_hummel:2024,2024,MiLB,HOU,Cooper Hummel,0.277142857,0.418552036,0.454285714,0.3952494159340858,136.16211163662803,0.178733031,0.201357466,0.177142857,0.34117647,442
milb_tmp:nate_mondou:2024,2024,MiLB,SDP,Nate Mondou,0.266846361,0.367346938,0.404312668,0.3491747291050087,88.00817112540797,0.124153498,0.200902934,0.137466307,0.330985915,443
milb_tmp:daniel_johnson:2024,2024,MiLB,BAL,Daniel Johnson,0.259423503,0.32,0.447893569,0.337606676697731,100.26450231919306,0.074,0.258,0.188470066,0.312703583,500
milb_tmp:mike_brosseau:2024,2024,MiLB,NYM,Mike Brosseau,0.262857142,0.355555555,0.417142857,0.3502811322977513,101.94988180693926,0.098765432,0.207407407,0.154285715,0.303149606,405
milb_tmp:darick_hall:2024,2024,MiLB,PHI,Darick Hall,0.236111111,0.319672131,0.386574074,0.3181877686898894,83.17463644956233,0.102459016,0.227459016,0.150462963,0.280130293,488
milb_tmp:carlos_narvaez:2024,2024,MiLB,NYY,Carlos Narvaez,0.253731343,0.369727047,0.411940298,0.3558353016625589,109.49088513942225,0.138957816,0.260545905,0.158208955,0.331838565,403
milb_tmp:rylan_bannon:2024,2024,MiLB,NYM,Rylan Bannon,0.221198156,0.369202226,0.405529953,0.3546856539653444,104.41461375795988,0.178107606,0.252319109,0.184331797,0.276595744,539
milb_tmp:charles_leblanc:2024,2024,MiLB,LAA,Charles Leblanc,0.253687315,0.379227053,0.436578171,0.3672111976810575,106.4234088870526,0.164251207,0.24879227,0.182890856,0.324561403,414
milb_tmp:tristan_gray:2024,2024,MiLB,MIA,Tristan Gray,0.251196172,0.32196162,0.466507177,0.3442404595519434,103.44431129452369,0.087420042,0.257995735,0.215311005,0.303886925,469
milb_tmp:diego_castillo:2024,2024,MiLB,MIN,Diego Castillo,0.261306532,0.363829787,0.396984924,0.3479593302341218,100.10942622207826,0.134042553,0.14893617,0.135678392,0.293209876,470
milb_tmp:sandro_fabian:2024,2024,MiLB,TEX,Sandro Fabian,0.270089285,0.343313373,0.462053571,0.3536990323066711,102.40046372608973,0.089820359,0.151696606,0.191964286,0.291316526,501
milb_tmp:taylor_trammell:2024,2024,MiLB,NYY,Taylor Trammell,0.25595238,0.38083538,0.488095238,0.3858283693725998,128.71388989056084,0.154791154,0.267813267,0.232142858,0.322274881,407
