year,lgID,G,R,HR,BB,SO,R_per_G,HR_per_G,BB_per_G,SO_per_G,season,run_env
1876,NL,520,3066,40,336,589.0,5.8961538461538465,0.07692307692307693,0.6461538461538462,1.1326923076923077,1876,5.8961538461538465
1877,NL,360,2040,24,345,726.0,5.666666666666667,0.06666666666666667,0.9583333333333334,2.0166666666666666,1877,5.666666666666667
1878,NL,368,1904,23,364,1081.0,5.173913043478261,0.0625,0.9891304347826086,2.9375,1878,5.173913043478261
1879,NL,642,3409,58,508,1843.0,5.309968847352025,0.09034267912772585,0.7912772585669782,2.870716510903427,1879,5.309968847352025
1880,NL,680,3191,62,740,1993.0,4.692647058823529,0.09117647058823529,1.088235294117647,2.9308823529411763,1880,4.692647058823529
1881,NL,672,3425,76,1033,1784.0,5.096726190476191,0.1130952380952381,1.537202380952381,2.6547619047619047,1881,5.096726190476191
1882,AA,466,2435,52,632,1186.0,5.225321888412017,0.11158798283261803,1.3562231759656653,2.5450643776824036,1882,5.225321888412017
1882,NL,676,3657,126,960,2159.0,5.409763313609467,0.1863905325443787,1.4201183431952662,3.1937869822485205,1882,5.409763313609467
1883,AA,780,4465,114,1208,2417.0,5.7243589743589745,0.14615384615384616,1.5487179487179488,3.098717948717949,1883,5.7243589743589745
1883,NL,790,4565,124,1121,2877.0,5.7784810126582276,0.1569620253164557,1.418987341772152,3.641772151898734,1883,5.7784810126582276
1884,AA,1316,6889,243,1992,5672.0,5.234802431610942,0.18465045592705168,1.513677811550152,4.310030395136778,1884,5.234802431610942
1884,NL,912,5028,321,1821,4335.0,5.5131578947368425,0.3519736842105263,1.9967105263157894,4.753289473684211,1884,5.5131578947368425
1884,UA,846,4825,125,1134,4830.0,5.703309692671395,0.14775413711583923,1.3404255319148937,5.709219858156028,1884,5.703309692671395
1885,AA,890,4885,149,1685,3378.0,5.48876404494382,0.16741573033707866,1.8932584269662922,3.795505617977528,1885,5.48876404494382
1885,NL,890,4407,174,1845,3337.0,4.951685393258427,0.19550561797752808,2.0730337078651684,3.749438202247191,1885,4.951685393258427
1886,AA,1114,6327,164,3182,4730.0,5.6795332136445245,0.14721723518850988,2.8563734290843805,4.2459605026929985,1886,5.6795332136445245
1886,NL,984,5185,249,2372,4248.0,5.269308943089431,0.2530487804878049,2.410569105691057,4.317073170731708,1886,5.269308943089431
1887,AA,1096,7234,223,3320,3103.0,6.600364963503649,0.20346715328467152,3.0291970802919708,2.8312043795620436,1887,6.600364963503649
1887,NL,1016,6183,383,2733,2821.0,6.085629921259843,0.37696850393700787,2.6899606299212597,2.7765748031496065,1887,6.085629921259843
1888,AA,1096,5691,188,2634,4234.0,5.192518248175182,0.17153284671532848,2.403284671532847,3.863138686131387,1888,5.192518248175182
1888,NL,1084,4937,333,2093,3998.0,4.554428044280443,0.30719557195571956,1.9308118081180812,3.688191881918819,1888,4.554428044280443
1889,AA,1114,6783,296,3704,4177.0,6.08886894075404,0.26570915619389585,3.324955116696589,3.7495511669658885,1889,6.08886894075404
1889,NL,1062,6203,371,3612,3492.0,5.840866290018832,0.3493408662900188,3.401129943502825,3.288135593220339,1889,5.840866290018832
1890,AA,1076,6042,187,3746,4233.0,5.615241635687732,0.1737918215613383,3.4814126394052045,3.934014869888476,1890,5.615241635687732
1890,NL,1078,6010,257,3773,3581.0,5.575139146567718,0.23840445269016697,3.5,3.3218923933209648,1890,5.575139146567718
1890,PL,1064,7331,320,4204,3006.0,6.890037593984962,0.3007518796992481,3.9511278195488724,2.825187969924812,1890,6.890037593984962
1891,AA,1112,6521,291,4231,4015.0,5.864208633093525,0.26169064748201437,3.804856115107914,3.610611510791367,1891,5.864208633093525
1891,NL,1104,6114,294,3804,3641.0,5.538043478260869,0.266304347826087,3.4456521739130435,3.2980072463768115,1891,5.538043478260869
1892,NL,1836,9388,417,6178,5973.0,5.113289760348584,0.22712418300653595,3.3649237472766886,3.253267973856209,1892,5.113289760348584
1893,NL,1570,10315,460,6143,3342.0,6.570063694267516,0.2929936305732484,3.9127388535031846,2.128662420382166,1893,6.570063694267516
1894,NL,1596,11796,629,5870,3333.0,7.390977443609023,0.3941102756892231,3.6779448621553885,2.088345864661654,1894,7.390977443609023
1895,NL,1594,10514,488,5120,3623.0,6.5959849435382685,0.30614805520702637,3.2120451693851946,2.2728983688833124,1895,6.5959849435382685
1896,NL,1584,9560,404,4854,3523.0,6.0353535353535355,0.255050505050505,3.0643939393939394,2.2241161616161618,1896,6.0353535353535355
1897,NL,1614,9536,368,4726,3729.0,5.908302354399009,0.22800495662949194,2.9281288723667904,2.3104089219330857,1897,5.908302354399009
1898,NL,1840,9129,299,5092,4223.0,4.961413043478261,0.1625,2.767391304347826,2.295108695652174,1898,4.961413043478261
1899,NL,1842,9672,352,4979,3849.0,5.250814332247557,0.19109663409337677,2.703040173724213,2.08957654723127,1899,5.250814332247557
1900,NL,1136,5932,254,3034,2681.0,5.221830985915493,0.22359154929577466,2.670774647887324,2.3600352112676055,1900,5.221830985915493
1901,AL,1096,5873,228,2780,2730.0,5.358576642335766,0.20802919708029197,2.5364963503649633,2.490875912408759,1901,5.358576642335766
1901,NL,1122,5194,227,2685,4246.0,4.6292335115864525,0.20231729055258468,2.393048128342246,3.784313725490196,1901,4.6292335115864525
1902,AL,1104,5407,258,2815,2720.0,4.8976449275362315,0.23369565217391305,2.54981884057971,2.463768115942029,1902,4.8976449275362315
1902,NL,1126,4494,96,2627,3910.0,3.991119005328597,0.0852575488454707,2.3330373001776197,3.47246891651865,1902,3.991119005328597
1903,AL,1108,4543,184,2265,4188.0,4.100180505415162,0.16606498194945848,2.0442238267148016,3.779783393501805,1903,4.100180505415162
1903,NL,1120,5349,151,3102,3711.0,4.775892857142857,0.13482142857142856,2.7696428571428573,3.313392857142857,1903,4.775892857142857
1904,AL,1252,4433,156,2610,5025.0,3.54073482428115,0.12460063897763578,2.084664536741214,4.013578274760383,1904,3.54073482428115
1904,NL,1244,4872,175,2966,4274.0,3.9163987138263665,0.14067524115755628,2.3842443729903535,3.4356913183279745,1904,3.9163987138263665
1905,AL,1234,4547,156,2982,5093.0,3.684764991896272,0.12641815235008103,2.4165316045380876,4.127228525121556,1905,3.684764991896272
1905,NL,1240,5092,182,3207,4430.0,4.106451612903226,0.14677419354838708,2.5862903225806453,3.5725806451612905,1905,4.106451612903226
1906,AL,1226,4494,137,2800,4583.0,3.66557911908646,0.11174551386623165,2.2838499184339316,3.738172920065253,1906,3.66557911908646
1906,NL,1228,4387,124,3364,4527.0,3.5724755700325734,0.10097719869706841,2.739413680781759,3.686482084690554,1906,3.5724755700325734
1907,AL,1234,4514,104,2824,4616.0,3.658022690437601,0.08427876823338736,2.288492706645057,3.740680713128039,1907,3.658022690437601
1907,NL,1232,4189,140,3274,4220.0,3.4001623376623376,0.11363636363636363,2.6574675324675323,3.425324675324675,1907,3.4001623376623376
1908,AL,1244,4286,116,2803,4920.0,3.445337620578778,0.0932475884244373,2.2532154340836015,3.954983922829582,1908,3.445337620578778
1908,NL,1244,4136,151,3057,4158.0,3.32475884244373,0.12138263665594855,2.457395498392283,3.342443729903537,1908,3.32475884244373
1909,AL,1240,4267,109,2931,4910.0,3.4411290322580643,0.08790322580645162,2.363709677419355,3.9596774193548385,1909,3.4411290322580643
