game_pk,team,mlb_id,name,PA,H,HR,BB,SO,IP_outs,K_p,BB_p,ER
778485,SD,673513,Yuki Matsui,0,0,0,0,0,2,2,2,0
778485,SD,455117,Martín Maldonado,0,0,0,0,0,0,0,0,0
778485,SD,650633,Michael King,0,0,0,0,0,15,11,1,0
778485,SD,663158,Robert Suarez,0,0,0,0,0,0,0,0,0
778485,SD,593974,Wandy Peralta,0,0,0,0,0,0,0,0,0
778485,SD,701538,Jackson Merrill,4,1,1,1,1,0,0,0,0
778485,SD,578428,Jose Iglesias,2,1,0,1,0,0,0,0,0
778485,SD,592094,Jason Adam,0,0,0,0,0,4,2,0,0
778485,SD,493329,Yuli Gurriel,4,0,0,1,0,0,0,0,0
778485,SD,518792,Jason Heyward,2,1,0,0,1,0,0,0,0
778485,SD,663604,Brandon Lockridge,2,1,0,1,0,0,0,0,0
778485,SD,678316,Omar Cruz,0,0,0,0,0,3,1,0,0
778485,SD,669093,Jeremiah Estrada,0,0,0,0,0,3,0,0,0
778485,SD,657757,Gavin Sheets,0,0,0,0,0,0,0,0,0
778485,SD,656302,Dylan Cease,0,0,0,0,0,0,0,0,0
778485,SD,670970,Adrian Morejon,0,0,0,0,0,0,0,0,0
778485,SD,592518,Manny Machado,4,2,0,1,0,0,0,0,0
778485,SD,689690,Alek Jacob,0,0,0,0,0,0,0,0,0
778485,SD,669200,Mason McCoy,0,0,0,0,0,0,0,0,0
778485,SD,601713,Nick Pivetta,0,0,0,0,0,0,0,0,0
778485,SD,665487,Fernando Tatis Jr.,5,0,0,2,0,0,0,0,0
778485,SD,593428,Xander Bogaerts,4,1,0,0,1,0,0,0,0
778485,SD,553869,Elias Díaz,4,0,0,0,0,0,0,0,0
778485,SD,606996,Kyle Hart,0,0,0,0,0,0,0,0,0
778485,SD,630105,Jake Cronenworth,2,2,0,0,0,0,0,0,0
778485,SD,650333,Luis Arraez,5,1,0,0,0,0,0,0,0
778485,SD,681190,Randy Vásquez,0,0,0,0,0,0,0,0,0
778485,CLE,682847,Luis L. Ortiz,0,0,0,0,0,0,0,0,0
778485,CLE,594902,Ben Lively,0,0,0,0,0,0,0,0,0
778485,CLE,663474,Triston McKenzie,0,0,0,0,0,0,0,0,0
778485,CLE,595978,Austin Hedges,0,0,0,0,0,0,0,0,0
778485,CLE,661403,Emmanuel Clase,0,0,0,0,0,0,0,0,0
778485,CLE,682177,Daniel Schneemann,2,0,0,0,2,0,0,0,0
778485,CLE,678877,Jhonkensy Noel,1,0,0,1,0,0,0,0,0
778485,CLE,671286,Johnathan Rodríguez,0,0,0,0,0,0,0,0,0
778485,CLE,677587,Brayan Rocchio,3,0,0,0,1,0,0,0,0
778485,CLE,672356,Gabriel Arias,4,1,0,0,2,0,0,0,0
778485,CLE,623149,Paul Sewald,0,0,0,0,0,2,1,0,0
778485,CLE,666134,Nolan Jones,4,0,0,0,4,0,0,0,0
778485,CLE,666310,Bo Naylor,4,0,0,1,2,0,0,0,0
778485,CLE,671106,Logan Allen,0,0,0,0,0,16,1,5,4
778485,CLE,671922,Cade Smith,0,0,0,0,0,0,0,0,0
778485,CLE,608070,José Ramírez,4,0,0,0,1,0,0,0,0
778485,CLE,680757,Steven Kwan,4,1,0,1,2,0,0,0,0
778485,CLE,700932,Kyle Manzardo,4,0,0,0,1,0,0,0,0
778485,CLE,596001,Jakob Junis,0,0,0,0,0,0,0,0,0
778485,CLE,676282,Joey Cantillo,0,0,0,0,0,6,1,2,1
778485,CLE,668909,Gavin Williams,0,0,0,0,0,0,0,0,0
778485,CLE,683769,Hunter Gaddis,0,0,0,0,0,0,0,0,0
778485,CLE,676440,Tanner Bibee,0,0,0,0,0,0,0,0,0
778485,CLE,682120,Tim Herrin,0,0,0,0,0,0,0,0,0
778485,CLE,657041,Lane Thomas,0,0,0,0,0,0,0,0,0
778485,CLE,467793,Carlos Santana,4,0,0,0,1,0,0,0,0
778486,SEA,645302,Victor Robles,4,1,0,0,0,0,0,0,0
778486,SEA,456781,Donovan Solano,0,0,0,0,0,0,0,0,0
778486,SEA,668227,Randy Arozarena,4,0,0,1,0,0,0,0,0
778486,SEA,641487,J.P. Crawford,3,0,0,1,1,0,0,0,0
778486,SEA,676092,Collin Snider,0,0,0,0,0,0,0,0,0
778486,SEA,642133,Rowdy Tellez,3,0,0,0,1,0,0,0,0
778486,SEA,663728,Cal Raleigh,4,0,0,1,1,0,0,0,0
778486,SEA,666619,Gregory Santos,0,0,0,0,0,3,0,0,0
778486,SEA,670156,Miles Mastrobuoni,3,0,0,0,0,0,0,0,0
778486,SEA,669302,Logan Gilbert,0,0,0,0,0,15,10,1,3
778486,SEA,693433,Bryan Woo,0,0,0,0,0,0,0,0,0
778486,SEA,663423,Trent Thornton,0,0,0,0,0,2,0,0,1
778486,SEA,669208,Ryan Bliss,3,0,0,0,1,0,0,0,0
778486,SEA,622491,Luis Castillo,0,0,0,0,0,0,0,0,0
778486,SEA,646242,Jhonathan Díaz,0,0,0,0,0,4,1,0,0
778486,SEA,664238,Dylan Moore,0,0,0,0,0,0,0,0,0
778486,SEA,662253,Andrés Muñoz,0,0,0,0,0,0,0,0,0
778486,SEA,641598,Mitch Garver,0,0,0,0,0,0,0,0,0
778486,SEA,642048,Tayler Saucedo,0,0,0,0,0,0,0,0,0
778486,SEA,642100,Gabe Speier,0,0,0,0,0,3,2,0,0
778486,SEA,677594,Julio Rodríguez,4,0,0,1,1,0,0,0,0
778486,SEA,660844,Leo Rivas,0,0,0,0,0,0,0,0,0
