la,ev,c
48,9,1
42,11,1
-48,13,1
-18,17,1
-37,23,1
17,24,1
34,24,1
43,27,1
21,28,1
-69,30,1
-35,31,1
-40,32,1
24,32,1
-37,33,1
29,33,1
6,34,1
79,34,1
-8,37,1
68,37,1
36,38,1
31,39,1
-45,40,1
-60,41,1
-35,41,1
-39,44,1
-80,45,1
-13,46,1
-29,47,1
-24,48,1
79,48,1
-36,49,1
-14,50,1
31,50,1
-24,51,1
32,51,1
-3,52,1
7,53,1
11,53,1
-65,54,1
-59,54,1
-58,54,1
-17,54,1
67,54,1
-74,55,1
-50,55,1
-8,55,1
1,55,1
7,55,1
-51,56,1
-40,56,1
-29,56,1
46,56,1
74,56,1
-47,57,1
-26,57,1
-8,57,1
12,57,1
13,57,1
-76,58,1
-50,58,1
-34,58,1
51,58,1
-63,59,1
-46,59,1
42,59,1
46,59,1
80,59,1
-59,60,1
-53,60,2
-45,60,1
-20,60,1
-1,60,1
40,60,1
54,60,1
59,60,1
75,60,1
-64,61,1
-62,61,1
-57,61,1
-46,61,1
-36,61,1
-24,61,1
0,61,1
12,61,1
16,61,1
42,61,1
44,61,1
47,61,1
-7,62,1
30,62,2
-81,63,1
1,63,1
21,63,1
24,63,1
31,63,1
44,63,1
47,63,1
53,63,1
63,63,1
89,63,1
-46,64,1
-44,64,1
-38,64,1
-24,64,1
30,64,1
34,64,1
44,64,1
46,64,1
56,64,1
57,64,1
66,64,1
-71,65,1
-51,65,1
-50,65,1
-33,65,1
-18,65,1
-17,65,1
-3,65,1
4,65,1
9,65,1
41,65,1
43,65,1
45,65,1
48,65,1
62,65,2
70,65,1
72,65,1
-38,66,1
-28,66,1
-8,66,1
10,66,1
20,66,1
26,66,1
27,66,1
31,66,2
38,66,2
43,66,1
45,66,1
46,66,1
60,66,1
61,66,1
74,66,1
81,66,1
-86,67,1
-23,67,1
-11,67,1
1,67,1
14,67,1
26,67,1
27,67,1
39,67,2
46,67,2
49,67,1
50,67,1
56,67,1
-55,68,1
-43,68,1
-39,68,1
-25,68,1
-20,68,1
-11,68,1
12,68,1
21,68,1
29,68,1
34,68,1
39,68,1
43,68,1
46,68,1
54,68,1
70,68,1
75,68,1
-45,69,1
-39,69,1
-34,69,1
-29,69,1
-28,69,1
-20,69,1
-9,69,1
1,69,1
33,69,2
35,69,1
36,69,1
41,69,1
49,69,1
52,69,1
53,69,1
58,69,1
60,69,1
-56,70,1
-24,70,1
-22,70,1
4,70,2
22,70,1
29,70,1
35,70,1
38,70,2
39,70,1
44,70,1
47,70,1
48,70,1
52,70,1
58,70,1
66,70,1
68,70,2
77,70,1
-43,71,1
-38,71,1
-33,71,1
-31,71,1
-28,71,1
-24,71,1
-14,71,1
-9,71,1
-1,71,1
0,71,1
6,71,1
7,71,1
15,71,1
22,71,1
25,71,1
26,71,2
28,71,1
32,71,1
35,71,1
44,71,1
45,71,2
47,71,1
49,71,1
53,71,1
60,71,1
61,71,1
62,71,1
64,71,1
65,71,1
-66,72,1
-44,72,1
-32,72,1
-26,72,1
-20,72,1
-19,72,1
-11,72,1
2,72,2
9,72,1
15,72,1
19,72,1
24,72,1
25,72,2
30,72,1
37,72,1
38,72,1
41,72,1
42,72,2
43,72,1
46,72,1
48,72,1
49,72,1
53,72,1
55,72,1
57,72,1
59,72,1
63,72,2
64,72,1
74,72,1
76,72,1
83,72,1
-46,73,1
-41,73,1
-21,73,1
-18,73,1
-9,73,1
2,73,1
16,73,1
17,73,2
24,73,1
26,73,1
29,73,1
31,73,1
36,73,2
37,73,1
39,73,1
46,73,1
47,73,1
51,73,1
55,73,1
64,73,1
66,73,1
69,73,1
70,73,1
73,73,1
-33,74,1
-31,74,1
-30,74,1
-25,74,1
-5,74,2
-2,74,1
15,74,1
17,74,1
18,74,1
25,74,1
26,74,2
27,74,1
34,74,1
38,74,2
45,74,1
46,74,2
48,74,2
51,74,1
52,74,1
53,74,1
64,74,2
76,74,1
77,74,1
-26,75,1
-17,75,1
-14,75,2
-9,75,1
0,75,1
1,75,1
12,75,1
13,75,1
17,75,1
18,75,1
19,75,1
21,75,1
22,75,2
23,75,1
27,75,1
28,75,2
30,75,1
32,75,1
35,75,1
39,75,1
42,75,1
46,75,1
50,75,1
52,75,1
56,75,2
62,75,1
67,75,1
71,75,1
-36,76,1
-31,76,1
-29,76,1
-26,76,1
-23,76,1
-13,76,1
5,76,1
9,76,1
10,76,1
12,76,1
13,76,1
24,76,1
28,76,1
30,76,2
31,76,1
33,76,1
39,76,1
40,76,1
45,76,1
49,76,1
55,76,2
56,76,1
60,76,2
62,76,1
65,76,2
88,76,1
-53,77,1
-41,77,2
-29,77,2
-27,77,2
3,77,1
13,77,1
18,77,1
26,77,1
31,77,2
37,77,2
39,77,1
41,77,1
43,77,1
49,77,2
51,77,1
54,77,1
55,77,2
61,77,1
62,77,2
68,77,1
69,77,1
70,77,1
-35,78,2
-16,78,1
-14,78,1
-2,78,1
2,78,1
8,78,1
9,78,2
14,78,1
15,78,1
17,78,1
18,78,1
19,78,2
21,78,1
23,78,2
27,78,1
29,78,1
31,78,1
32,78,1
36,78,1
40,78,1
42,78,2
46,78,1
47,78,1
56,78,1
61,78,1
67,78,1
70,78,1
-56,79,1
-29,79,1
-9,79,1
-7,79,1
3,79,1
6,79,1
7,79,1
8,79,1
11,79,1
12,79,1
16,79,1
17,79,1
21,79,1
26,79,1
27,79,2
33,79,1
34,79,1
35,79,1
36,79,1
49,79,1
50,79,1
51,79,1
61,79,1
62,79,1
67,79,1
68,79,1
78,79,1
85,79,1
-20,80,1
-16,80,1
2,80,1
3,80,1
14,80,1
20,80,1
27,80,1
30,80,1
33,80,1
38,80,1
45,80,1
47,80,1
51,80,1
55,80,1
58,80,1
63,80,2
64,80,2
71,80,1
78,80,1
-43,81,1
-38,81,1
-33,81,2
-19,81,1
-11,81,2
-10,81,1
-9,81,1
-7,81,1
-4,81,1
2,81,1
4,81,1
6,81,3
12,81,1
13,81,1
15,81,1
19,81,1
20,81,1
23,81,1
25,81,1
34,81,1
43,81,1
48,81,1
50,81,1
52,81,1
54,81,1
56,81,1
59,81,1
60,81,1
61,81,1
63,81,1
65,81,1
67,81,1
74,81,1
75,81,1
-40,82,1
-37,82,1
-26,82,1
-16,82,1
-8,82,1
7,82,1
9,82,1
19,82,1
28,82,1
31,82,1
38,82,1
41,82,1
43,82,1
53,82,3
63,82,1
67,82,1
76,82,1
79,82,1
-42,83,1
-33,83,2
-28,83,2
-18,83,1
-16,83,1
-14,83,1
-2,83,1
8,83,1
15,83,1
24,83,1
25,83,1
29,83,2
31,83,1
32,83,2
37,83,1
41,83,1
44,83,1
45,83,1
46,83,1
59,83,1
64,83,1
65,83,1
-42,84,1
-26,84,1
-22,84,1
-10,84,1
3,84,1
10,84,1
11,84,1
12,84,1
18,84,1
21,84,1
25,84,1
35,84,1
41,84,1
47,84,1
48,84,1
50,84,1
58,84,1
60,84,2
63,84,1
69,84,1
70,84,1
77,84,1
-42,85,1
-29,85,1
-28,85,1
-26,85,1
-11,85,1
-10,85,1
-6,85,1
3,85,1
4,85,1
9,85,1
19,85,2
21,85,1
25,85,1
34,85,1
39,85,2
43,85,1
46,85,1
47,85,1
55,85,1
61,85,1
74,85,1
-29,86,1
-23,86,1
-21,86,1
-10,86,1
-3,86,1
-1,86,1
2,86,1
14,86,1
34,86,1
35,86,1
36,86,1
38,86,1
39,86,1
45,86,1
57,86,1
58,86,1
69,86,2
76,86,1
79,86,1
80,86,1
88,86,1
-35,87,1
-32,87,1
-31,87,1
-25,87,1
-24,87,2
-22,87,1
-18,87,1
-14,87,2
-13,87,1
-9,87,1
-1,87,1
12,87,1
13,87,1
26,87,1
27,87,1
32,87,1
35,87,1
48,87,1
49,87,1
51,87,1
53,87,1
54,87,1
72,87,1
74,87,1
78,87,1
-51,88,1
-41,88,1
-25,88,1
-20,88,1
-19,88,1
-18,88,1
-14,88,3
-12,88,1
-5,88,1
-1,88,1
12,88,1
14,88,1
15,88,1
21,88,1
27,88,1
41,88,1
42,88,1
43,88,1
44,88,2
46,88,2
47,88,1
50,88,3
52,88,1
54,88,1
59,88,1
73,88,1
-57,89,1
-42,89,1
-40,89,1
-32,89,1
-30,89,1
-20,89,1
-18,89,1
-14,89,1
-5,89,1
-4,89,1
5,89,1
7,89,1
20,89,1
22,89,1
23,89,2
26,89,1
27,89,1
29,89,1
31,89,1
37,89,1
48,89,2
49,89,1
50,89,1
52,89,1
55,89,1
68,89,1
-55,90,1
-27,90,1
-24,90,1
-11,90,1
-8,90,1
-7,90,1
-5,90,2
10,90,1
27,90,2
28,90,1
32,90,1
35,90,1
36,90,1
38,90,1
39,90,1
61,90,1
64,90,1
67,90,1
72,90,1
-54,91,1
-21,91,1
-19,91,1
-18,91,2
-17,91,1
-16,91,1
-15,91,1
-2,91,1
0,91,1
3,91,2
9,91,1
11,91,1
13,91,1
19,91,3
22,91,2
24,91,2
36,91,1
38,91,2
42,91,1
63,91,1
71,91,1
72,91,1
74,91,1
-19,92,1
-17,92,1
-16,92,1
-10,92,2
-5,92,1
-2,92,1
6,92,1
7,92,1
9,92,1
11,92,1
12,92,1
15,92,1
16,92,1
18,92,1
25,92,1
27,92,1
28,92,1
30,92,1
31,92,1
33,92,1
37,92,1
38,92,1
41,92,2
42,92,1
46,92,1
48,92,1
64,92,1
75,92,1
77,92,1
-25,93,1
-23,93,1
-11,93,1
-10,93,1
-5,93,1
-1,93,1
5,93,1
6,93,1
8,93,2
9,93,1
17,93,1
19,93,2
20,93,1
21,93,1
22,93,1
23,93,2
28,93,1
30,93,1
32,93,1
34,93,1
37,93,1
40,93,1
41,93,1
52,93,1
56,93,1
-19,94,1
-18,94,1
-17,94,1
-11,94,1
-9,94,1
-7,94,1
-2,94,1
-1,94,2
11,94,1
13,94,1
16,94,1
19,94,2
31,94,1
35,94,1
37,94,1
42,94,2
43,94,1
46,94,1
47,94,1
53,94,1
-32,95,1
-24,95,1
-22,95,1
-12,95,2
-10,95,1
-9,95,1
-5,95,2
2,95,2
7,95,1
8,95,2
10,95,1
11,95,1
23,95,1
25,95,1
42,95,1
46,95,1
65,95,1
-33,96,1
-24,96,1
-10,96,1
-4,96,1
6,96,1
8,96,1
9,96,1
11,96,1
18,96,1
25,96,1
31,96,1
33,96,1
34,96,1
40,96,2
57,96,1
-38,97,1
-33,97,1
-27,97,1
-24,97,1
-22,97,1
-11,97,1
-10,97,1
-7,97,1
-5,97,2
-4,97,1
-3,97,1
-1,97,1
1,97,1
2,97,1
14,97,1
15,97,2
17,97,1
26,97,1
30,97,1
40,97,1
54,97,1
61,97,1
64,97,1
72,97,1
-29,98,1
-26,98,1
-19,98,1
-17,98,1
-15,98,1
-14,98,1
-13,98,2
-9,98,1
-5,98,1
2,98,1
3,98,1
5,98,1
6,98,1
11,98,1
12,98,1
14,98,1
16,98,1
17,98,1
19,98,2
20,98,1
22,98,1
27,98,1
31,98,1
32,98,1
39,98,1
47,98,1
64,98,1
73,98,1
-28,99,1
-15,99,1
-12,99,2
-10,99,1
-5,99,1
-2,99,1
-1,99,1
0,99,1
1,99,1
4,99,1
6,99,1
7,99,1
8,99,1
10,99,1
12,99,1
13,99,1
15,99,2
22,99,3
23,99,1
26,99,1
27,99,1
30,99,1
33,99,1
37,99,1
40,99,1
44,99,1
-23,100,1
-14,100,1
-10,100,2
-7,100,1
-2,100,1
3,100,1
4,100,2
6,100,1
9,100,1
11,100,1
12,100,1
14,100,1
15,100,1
19,100,1
23,100,1
25,100,1
31,100,1
33,100,1
37,100,1
39,100,1
59,100,1
-22,101,1
-17,101,1
-10,101,1
-3,101,2
0,101,1
1,101,1
5,101,1
8,101,1
9,101,1
19,101,1
36,101,1
38,101,1
39,101,1
-32,102,1
-25,102,1
-19,102,2
-17,102,1
-11,102,1
-6,102,1
1,102,2
3,102,1
6,102,1
8,102,1
9,102,1
11,102,2
13,102,1
16,102,1
18,102,1
21,102,2
22,102,1
23,102,1
24,102,1
32,102,1
33,102,1
35,102,1
37,102,1
42,102,1
49,102,1
58,102,1
-22,103,1
-15,103,1
-12,103,1
0,103,1
2,103,1
6,103,2
17,103,1
24,103,1
29,103,1
30,103,1
47,103,1
-19,104,1
-5,104,1
0,104,1
2,104,1
3,104,1
8,104,1
14,104,1
15,104,1
17,104,1
18,104,1
22,104,1
25,104,1
31,104,1
33,104,1
56,104,1
-33,105,1
-10,105,1
-5,105,1
-1,105,1
3,105,1
4,105,2
18,105,1
20,105,1
22,105,1
28,105,2
29,105,1
-24,106,1
-5,106,1
-4,106,1
0,106,1
