season,pitcher_id,name,dominant_pitch,repeat_rate,rk
2025,689233,"",FF,1.0,1
2025,695031,"",FF,1.0,2
2025,700321,"",SI,1.0,3
2025,800508,"",FC,1.0,4
2025,800683,"",SI,1.0,5
2025,691196,"",SL,1.0,6
2025,691605,"",FF,1.0,7
2025,691922,"",SL,1.0,8
2025,815904,"",SI,1.0,9
2025,683569,"",FF,1.0,10
2015,457456,"Reyes, Jo-Jo",FF,1.0,1
2015,408314,"deGrom, Jacob",CH,0.7937062937062938,2
2015,276519,"deGrom, Jacob",CH,0.7758007117437722,3
2015,430910,"deGrom, Jacob",CH,0.7601476014760148,4
2015,430948,"deGrom, Jacob",SL,0.7572463768115942,5
2015,595371,"Rearick, Chris",FF,0.7477477477477478,6
2015,457754,"Edwards, Jon",FF,0.7455968688845401,7
2015,285079,"Zimmermann, Jordan",KN,0.7435470441298918,8
2015,434636,"Zito, Barry",CH,0.7432432432432432,9
2015,592570,"Morris, Akeel",SL,0.7425742574257426,10
