season,pitcher_id,name,dominant_pitch,repeat_rate,rk
2025,657006,"",CH,0.0,1
2025,666310,"",CH,0.0,2
2025,670869,"",CH,0.0,3
2025,682183,"",CH,0.0,4
2025,679529,"",CH,0.0,5
2025,605182,"",CH,0.0,6
2025,624428,"",CH,0.0,7
2025,656731,"",CH,0.0,8
2025,688311,"",FC,0.0,9
2025,678554,"",CH,0.0,10
2015,502023,"Contreras, Carlos",SI,0.09090909090909091,1
2015,491676,"Wood, Alex",SI,0.16666666666666666,2
2015,592166,"Tanaka, Masahiro",FF,0.21951219512195122,3
2015,446192,"Pelfrey, Mike",CU,0.2222222222222222,4
2015,592596,"Drake, Oliver",FS,0.23809523809523808,5
2015,518170,"Uehara, Koji",FF,0.25,6
2015,594555,"Wilhelmsen, Tom",CH,0.2682926829268293,7
2015,593525,"O'Flaherty, Eric",FF,0.2692307692307692,8
2015,596142,"Drake, Oliver",FF,0.2692307692307692,9
2015,435623,"Rusin, Chris",FF,0.27450980392156865,10
