season,pitcher_id,from_pt,to_pt,n,prob
2015.0,112526,SI,SL,18,0.45
2015.0,112526,FF,SI,13,0.325
2015.0,112526,SI,FF,12,0.3
2015.0,112526,CH,CH,12,0.32432432432432434
2015.0,112526,CH,FF,12,0.32432432432432434
2015.0,112526,SL,SI,12,0.34285714285714286
2015.0,112526,FF,CH,10,0.25
2015.0,112526,FF,IN,9,0.225
2015.0,112526,SL,FF,9,0.2571428571428571
2015.0,112526,IN,SI,7,0.5
2015.0,112526,SL,SL,7,0.2
2015.0,112526,SL,CH,6,0.17142857142857143
2015.0,112526,SI,IN,5,0.125
2015.0,112526,CH,SI,5,0.13513513513513514
2015.0,112526,CH,SL,5,0.13513513513513514
2015.0,112526,SI,CH,4,0.1
2015.0,112526,FF,SL,3,0.075
2015.0,112526,FF,FF,3,0.075
2015.0,112526,CH,CU,3,0.08108108108108109
2015.0,112526,IN,CH,3,0.21428571428571427
2015.0,112526,CU,FF,2,0.4
2015.0,112526,CU,CH,2,0.4
2015.0,112526,FF,CU,2,0.05
2015.0,112526,IN,SL,2,0.14285714285714285
2015.0,112526,IN,FF,2,0.14285714285714285
2015.0,112526,CU,SI,1,0.2
2015.0,112526,SI,SI,1,0.025
2015.0,112526,SL,IN,1,0.02857142857142857
2015.0,115629,SL,SI,12,0.4
2015.0,115629,SI,SL,11,0.44
2015.0,115629,SL,SL,11,0.36666666666666664
2015.0,115629,CH,CH,11,0.36666666666666664
2015.0,115629,SI,FF,9,0.36
2015.0,115629,FF,SI,8,0.27586206896551724
2015.0,115629,CH,CU,8,0.26666666666666666
2015.0,115629,FF,CH,7,0.2413793103448276
2015.0,115629,FF,CU,7,0.2413793103448276
2015.0,115629,CU,CH,7,0.4666666666666667
2015.0,115629,CU,FF,7,0.4666666666666667
2015.0,115629,CH,FF,7,0.23333333333333334
2015.0,115629,SL,CH,4,0.13333333333333333
2015.0,115629,CH,SL,4,0.13333333333333333
2015.0,115629,IN,FF,3,0.6
2015.0,115629,FF,SL,3,0.10344827586206896
2015.0,115629,FF,IN,3,0.10344827586206896
2015.0,115629,SL,FF,3,0.1
2015.0,115629,IN,SI,2,0.4
2015.0,115629,SI,IN,2,0.08
2015.0,115629,SI,SI,2,0.08
2015.0,115629,SI,CH,1,0.04
2015.0,115629,FF,FF,1,0.034482758620689655
2015.0,115629,CU,SI,1,0.06666666666666667
2015.0,136600,CH,CU,3,0.75
2015.0,136600,FF,IN,3,0.6
2015.0,136600,SI,SL,3,0.6
2015.0,136600,IN,SI,3,0.6
2015.0,136600,EP,FF,3,0.6
2015.0,136600,CU,EP,3,0.6
2015.0,136600,SL,CH,2,0.4
2015.0,136600,SL,SI,2,0.4
2015.0,136600,FF,EP,2,0.4
2015.0,136600,IN,FF,2,0.4
2015.0,136600,SL,SL,1,0.2
2015.0,136600,CH,CH,1,0.25
2015.0,136600,SI,IN,1,0.2
2015.0,136600,SI,CU,1,0.2
2015.0,136600,EP,CH,1,0.2
2015.0,136600,EP,CU,1,0.2
2015.0,136600,CU,CH,1,0.2
2015.0,136600,CU,IN,1,0.2
2015.0,150116,SI,SL,8,0.5714285714285714
2015.0,150116,CH,CU,8,0.5333333333333333
2015.0,150116,CU,FF,7,0.4666666666666667
2015.0,150116,CU,CH,7,0.4666666666666667
2015.0,150116,SL,SI,6,0.4
2015.0,150116,FF,CU,6,0.4
2015.0,150116,FF,SI,5,0.3333333333333333
2015.0,150116,SL,SL,3,0.2
2015.0,150116,SI,IN,3,0.21428571428571427
2015.0,150116,CH,SI,3,0.2
2015.0,150116,SL,CH,2,0.13333333333333333
2015.0,150116,SL,FF,2,0.13333333333333333
2015.0,150116,SI,FF,2,0.14285714285714285
2015.0,150116,IN,FF,2,0.4
2015.0,150116,FF,CH,2,0.13333333333333333
2015.0,150116,CH,CH,2,0.13333333333333333
2015.0,150116,SL,CU,1,0.06666666666666667
2015.0,150116,SL,IN,1,0.06666666666666667
2015.0,150116,SI,CH,1,0.07142857142857142
2015.0,150116,IN,CH,1,0.2
2015.0,150116,IN,SI,1,0.2
2015.0,150116,IN,SL,1,0.2
2015.0,150116,FF,IN,1,0.06666666666666667
2015.0,150116,FF,FF,1,0.06666666666666667
2015.0,150116,CU,SL,1,0.06666666666666667
2015.0,150116,CH,FF,1,0.06666666666666667
2015.0,150116,CH,SL,1,0.06666666666666667
2015.0,150274,SL,SI,4,1.0
2015.0,150274,SI,SL,4,0.8
2015.0,150274,SI,SI,1,0.2
2015.0,150302,IN,CH,5,0.5
2015.0,150302,SL,SI,5,0.5555555555555556
2015.0,150302,SI,SL,4,0.4
2015.0,150302,CH,IN,4,0.4
2015.0,150302,SI,PO,3,0.3
2015.0,150302,CH,SL,3,0.3
2015.0,150302,SL,CH,3,0.3333333333333333
2015.0,150302,PO,IN,3,0.6
2015.0,150302,IN,SI,2,0.2
2015.0,150302,SI,IN,2,0.2
2015.0,150302,CH,SI,2,0.2
2015.0,150302,IN,SL,1,0.1
2015.0,150302,IN,PO,1,0.1
2015.0,150302,SI,CH,1,0.1
2015.0,150302,IN,IN,1,0.1
2015.0,150302,CH,CH,1,0.1
2015.0,150302,PO,SI,1,0.2
2015.0,150302,SL,SL,1,0.1111111111111111
2015.0,150302,PO,SL,1,0.2
2015.0,150359,KC,SI,17,0.5666666666666667
2015.0,150359,SI,KC,13,0.43333333333333335
2015.0,150359,CH,FF,13,0.43333333333333335
2015.0,150359,CH,CH,11,0.36666666666666664
2015.0,150359,FF,CH,10,0.3448275862068966
2015.0,150359,FF,KC,9,0.3103448275862069
2015.0,150359,SI,SI,7,0.23333333333333334
2015.0,150359,FF,FF,5,0.1724137931034483
2015.0,150359,KC,FF,5,0.16666666666666666
2015.0,150359,IN,KC,4,0.4
2015.0,150359,IN,FF,4,0.4
2015.0,150359,FF,IN,4,0.13793103448275862
2015.0,150359,KC,IN,4,0.13333333333333333
2015.0,150359,SI,FF,3,0.1
2015.0,150359,SI,CH,3,0.1
2015.0,150359,CH,SI,3,0.1
2015.0,150359,IN,CH,2,0.2
2015.0,150359,SI,IN,2,0.06666666666666667
2015.0,150359,SI,PO,2,0.06666666666666667
2015.0,150359,PO,SI,2,0.4
2015.0,150359,PO,KC,2,0.4
2015.0,150359,KC,CH,2,0.06666666666666667
2015.0,150359,CH,PO,2,0.06666666666666667
2015.0,150359,FF,SI,1,0.034482758620689655
2015.0,150359,PO,CH,1,0.2
2015.0,150359,KC,PO,1,0.03333333333333333
2015.0,150359,KC,KC,1,0.03333333333333333
2015.0,150359,CH,KC,1,0.03333333333333333
2015.0,217096,CH,CU,3,0.6
2015.0,217096,CH,SI,2,0.4
2015.0,217096,CU,CH,2,0.4
2015.0,217096,CU,FF,2,0.4
2015.0,217096,SI,SI,2,0.4
2015.0,217096,SI,CH,2,0.4
2015.0,217096,CU,CU,1,0.2
2015.0,217096,FF,SI,1,0.25
2015.0,217096,FF,CU,1,0.25
2015.0,217096,FF,FF,1,0.25
2015.0,217096,FF,CH,1,0.25
2015.0,217096,SI,FF,1,0.2
2015.0,218596,FF,FC,14,0.56
2015.0,218596,SI,FS,14,0.4
2015.0,218596,FC,CU,14,0.4666666666666667
2015.0,218596,FS,SI,12,0.35294117647058826
2015.0,218596,CU,FC,11,0.36666666666666664
2015.0,218596,FS,FF,10,0.29411764705882354
2015.0,218596,CU,CU,10,0.3333333333333333
2015.0,218596,FF,FS,8,0.32
2015.0,218596,SI,SI,8,0.22857142857142856
2015.0,218596,FC,FF,8,0.26666666666666666
2015.0,218596,FS,PO,6,0.17647058823529413
2015.0,218596,PO,SI,6,0.6
2015.0,218596,SI,FF,4,0.11428571428571428
2015.0,218596,SI,PO,4,0.11428571428571428
2015.0,218596,FC,SI,4,0.13333333333333333
2015.0,218596,FC,FS,4,0.13333333333333333
2015.0,218596,CU,SI,4,0.13333333333333333
2015.0,218596,SI,CU,3,0.08571428571428572
2015.0,218596,PO,FS,3,0.3
2015.0,218596,CU,FS,3,0.1
2015.0,218596,FS,FC,2,0.058823529411764705
2015.0,218596,FS,CU,2,0.058823529411764705
2015.0,218596,FS,FS,2,0.058823529411764705
2015.0,218596,SI,FC,2,0.05714285714285714
2015.0,218596,CU,FF,2,0.06666666666666667
2015.0,218596,FF,FF,1,0.04
2015.0,218596,FF,SI,1,0.04
2015.0,218596,FF,CU,1,0.04
2015.0,218596,PO,FC,1,0.1
2015.0,234194,SI,SL,6,0.6
2015.0,234194,SL,SI,4,0.4444444444444444
2015.0,234194,FF,SI,4,0.4
2015.0,234194,SI,FF,3,0.3
2015.0,234194,FF,SL,3,0.3
2015.0,234194,CH,SI,2,0.4
2015.0,234194,CH,FF,2,0.4
2015.0,234194,SL,CH,2,0.2222222222222222
2015.0,234194,SL,FF,2,0.2222222222222222
2015.0,234194,FF,FF,2,0.2
2015.0,234194,CH,CH,1,0.2
2015.0,234194,SL,SL,1,0.1111111111111111
2015.0,234194,SI,CH,1,0.1
2015.0,234194,FF,CH,1,0.1
2015.0,276351,SL,FF,7,0.35
2015.0,276351,SL,SL,7,0.35
2015.0,276351,FF,SL,7,0.3684210526315789
2015.0,276351,SI,SL,6,0.6
2015.0,276351,SL,SI,5,0.25
2015.0,276351,CH,FF,4,0.8
2015.0,276351,FF,FF,4,0.21052631578947367
2015.0,276351,FF,CH,4,0.21052631578947367
2015.0,276351,IN,FF,3,0.6
2015.0,276351,FF,SI,3,0.15789473684210525
2015.0,276351,SI,IN,3,0.3
2015.0,276351,IN,SI,2,0.4
2015.0,276351,SL,CH,1,0.05
2015.0,276351,CH,IN,1,0.2
2015.0,276351,FF,IN,1,0.05263157894736842
2015.0,276351,SI,FF,1,0.1
2015.0,276514,FF,FS,6,0.6
2015.0,276514,CU,FC,6,0.6
2015.0,276514,FC,CU,5,0.5555555555555556
2015.0,276514,FS,FF,5,0.5
2015.0,276514,FS,CU,4,0.4
2015.0,276514,FC,FF,4,0.4444444444444444
2015.0,276514,FF,FC,3,0.3
2015.0,276514,CU,FS,3,0.3
2015.0,276514,FF,FF,1,0.1
2015.0,276514,CU,CU,1,0.1
2015.0,276514,FS,FC,1,0.1
2015.0,276542,CH,FF,15,0.4411764705882353
2015.0,276542,SI,SL,13,0.43333333333333335
2015.0,276542,FF,CH,12,0.34285714285714286
2015.0,276542,FF,SI,12,0.34285714285714286
2015.0,276542,SL,SI,11,0.3142857142857143
2015.0,276542,SL,CH,10,0.2857142857142857
2015.0,276542,SI,FF,9,0.3
2015.0,276542,SL,SL,8,0.22857142857142856
2015.0,276542,CH,SL,7,0.20588235294117646
2015.0,276542,CH,CH,7,0.20588235294117646
2015.0,276542,SL,FF,6,0.17142857142857143
2015.0,276542,FF,SL,6,0.17142857142857143
2015.0,276542,SI,CH,5,0.16666666666666666
2015.0,276542,CH,SI,5,0.14705882352941177
2015.0,276542,FF,FF,3,0.08571428571428572
2015.0,276542,SI,IN,3,0.1
2015.0,276542,IN,FF,2,0.4
2015.0,276542,FF,IN,2,0.05714285714285714
2015.0,276542,IN,SI,2,0.4
2015.0,276542,IN,SL,1,0.2
2015.0,279571,CU,CH,12,0.48
2015.0,279571,FF,CU,10,0.4166666666666667
2015.0,279571,CU,FF,10,0.4
2015.0,279571,SL,SI,10,0.4
2015.0,279571,SI,SL,9,0.45
2015.0,279571,CH,CU,8,0.4
2015.0,279571,SI,PO,6,0.3
2015.0,279571,FF,SI,6,0.25
2015.0,279571,IN,FF,5,0.5
2015.0,279571,PO,IN,5,0.5
