season,pitcher_id,from2,from1,to_pt,n,prob
2015.0,112526,SL,SI,FF,9,0.5
2015.0,112526,FF,CH,CH,7,0.4666666666666667
2015.0,112526,FF,SI,SL,6,0.6
2015.0,112526,SL,SI,IN,6,0.3333333333333333
2015.0,112526,SI,IN,FF,6,1.0
2015.0,112526,SI,FF,CH,6,0.42857142857142855
2015.0,112526,IN,SI,SL,5,1.0
2015.0,112526,CH,FF,SI,5,0.35714285714285715
2015.0,112526,IN,FF,CH,5,0.7142857142857143
2015.0,112526,CH,CH,FF,5,0.5
2015.0,112526,FF,SL,SI,4,0.6666666666666666
2015.0,112526,CH,FF,CH,4,0.2857142857142857
2015.0,112526,CH,SL,SI,4,0.5714285714285714
2015.0,112526,FF,IN,SI,4,0.6666666666666666
2015.0,112526,SI,SL,SI,4,0.3333333333333333
2015.0,112526,SL,SL,SI,3,0.42857142857142855
2015.0,112526,CH,FF,IN,3,0.21428571428571427
2015.0,112526,SL,SL,SL,3,0.42857142857142855
2015.0,112526,CH,CH,SL,3,0.3
2015.0,112526,FF,CH,FF,3,0.2
2015.0,112526,SI,FF,SL,3,0.21428571428571427
2015.0,112526,SI,SL,SL,3,0.25
2015.0,112526,SL,CH,FF,3,0.75
2015.0,112526,CH,SI,FF,2,0.6666666666666666
2015.0,112526,FF,SI,FF,2,0.2
2015.0,112526,CH,FF,SL,2,0.14285714285714285
2015.0,112526,SL,SI,SI,2,0.1111111111111111
2015.0,112526,IN,SL,SI,2,1.0
2015.0,112526,IN,FF,IN,2,0.2857142857142857
2015.0,112526,SI,FF,CU,2,0.14285714285714285
2015.0,112526,FF,IN,SL,2,0.3333333333333333
2015.0,112526,SI,FF,SI,2,0.14285714285714285
2015.0,112526,FF,CH,SI,2,0.13333333333333333
2015.0,112526,SI,CH,FF,2,0.5
2015.0,112526,SI,SI,CH,2,0.5
2015.0,112526,SI,SL,CU,2,0.16666666666666666
2015.0,112526,FF,CU,CH,2,1.0
2015.0,112526,CU,FF,SI,2,1.0
2015.0,112526,FF,SI,CH,1,0.1
2015.0,112526,FF,SI,SI,1,0.1
2015.0,112526,CH,SI,SL,1,0.3333333333333333
2015.0,112526,SL,SI,CH,1,0.05555555555555555
2015.0,112526,SL,FF,SI,1,0.5
2015.0,112526,SL,FF,SL,1,0.5
2015.0,112526,FF,SL,SL,1,0.16666666666666666
2015.0,112526,FF,SL,CH,1,0.16666666666666666
2015.0,112526,SL,SL,CH,1,0.14285714285714285
