season,name,n_teams,pos_change_suggestion
1901,Al Maul,1,No Change
1901,Al Orth,1,No Change
1901,Al Shaw,1,No Change
1901,Aleck Smith,1,No Change
1901,Algie McBride,2,Utility Tryout
1901,Amos Rusie,1,No Change
1901,Archie Stimmel,1,No Change
1901,Art Nichols,1,No Change
1901,Barney McFadden,1,No Change
1901,Barry McCormick,1,No Change
1901,Ben Beville,1,No Change
1901,Ben Harrison,1,No Change
1901,Bert Conn,1,No Change
1901,Bert Cunningham,1,No Change
1901,Bert Husting,1,No Change
1901,Bill Bergen,1,No Change
1901,Bill Bernhard,1,No Change
1901,Bill Bradley,1,No Change
1901,Bill Carrick,1,No Change
1901,Bill Coughlin,1,No Change
1901,Bill Cristall,1,No Change
1901,Bill Dahlen,1,No Change
1901,Bill Deegan,1,No Change
1901,Bill Dinneen,1,No Change
1901,Bill Donovan,1,No Change
1901,Bill Duggleby,1,No Change
1901,Bill Everitt,1,No Change
1901,Bill Fox,1,No Change
1901,Bill Friel,1,No Change
1901,Bill Gannon,1,No Change
1901,Bill Hallman,3,Utility Tryout
1901,Bill Hart,1,No Change
1901,Bill Hoffer,1,No Change
1901,Bill Karns,1,No Change
1901,Bill Keister,1,No Change
1901,Bill Magee,2,Utility Tryout
1901,Bill Phillips,1,No Change
1901,Bill Phyle,1,No Change
1901,Bill Reidy,1,No Change
1901,Bill Richardson,1,No Change
1901,Billy Clingman,1,No Change
1901,Billy Gilbert,1,No Change
1901,Billy Hamilton,1,No Change
1901,Billy Hoy,1,No Change
1901,Billy Lauder,1,No Change
1901,Billy Lush,1,No Change
1901,Billy Maloney,1,No Change
1901,Billy Milligan,1,No Change
1901,Billy Sullivan,1,No Change
1901,Bob Lawson,1,No Change
1901,Bob Lindemann,1,No Change
1901,Bob McKinney,1,No Change
1901,Bob Wicker,1,No Change
1901,Bob Wood,1,No Change
1901,Bobby Lowe,1,No Change
1901,Bobby Wallace,1,No Change
1901,Bock Baker,2,Utility Tryout
1901,Bones Ely,2,Utility Tryout
1901,Brickyard Kennedy,1,No Change
1901,Buck Freeman,1,No Change
1901,Casey Patten,1,No Change
1901,Chappie Snodgrass,1,No Change
1901,Charles Zimmer,1,No Change
1901,Charlie Buelow,1,No Change
1901,Charlie Carr,1,No Change
1901,Charlie Case,1,No Change
1901,Charlie Dexter,1,No Change
1901,Charlie Ferguson,1,No Change
1901,Charlie Hemphill,1,No Change
1901,Charlie Hickman,1,No Change
1901,Charlie Irwin,2,Utility Tryout
1901,Charlie Jones,1,No Change
1901,Charlie Krause,1,No Change
1901,Charlie Luskey,1,No Change
1901,Chauncey Fisher,2,Utility Tryout
1901,Chick Fraser,1,No Change
1901,Chick Stahl,1,No Change
1901,Christy Mathewson,1,No Change
1901,Clarence Foster,2,Utility Tryout
1901,Clark Griffith,1,No Change
1901,Claude Ritchey,1,No Change
1901,Cowboy Jones,1,No Change
1901,Cozy Dolan,2,Utility Tryout
1901,Crazy Schmit,1,No Change
1901,Crese Heismann,1,No Change
1901,Cupid Childs,1,No Change
1901,Curt Bernard,1,No Change
1901,Cy Seymour,1,No Change
1901,Cy Young,1,No Change
1901,Daff Gammons,1,No Change
1901,Dale Gear,1,No Change
1901,Dan McGann,1,No Change
1901,Danny Green,1,No Change
1901,Danny Murphy,1,No Change
1901,Danny Shay,1,No Change
1901,Dave Brain,1,No Change
1901,Dave Fultz,1,No Change
1901,Davey Crockett,1,No Change
1901,Davy Jones,1,No Change
1901,Deacon McGuire,1,No Change
1901,Deacon Phillippe,1,No Change
1901,Dick Braggins,1,No Change
1901,Dick Harley,1,No Change
1901,Dick Padden,1,No Change
1901,Dick Scott,1,No Change
1901,Doc Newton,2,Utility Tryout
1901,Doc Powers,1,No Change
1901,Doc White,1,No Change
1901,Ducky Holmes,1,No Change
1901,Duff Cooley,1,No Change
1901,Duke Farrell,1,No Change
1901,Earl Moore,1,No Change
1901,Ed Bruyette,1,No Change
1901,Ed Cermak,1,No Change
1901,Ed Delahanty,1,No Change
1901,Ed Doheny,2,Utility Tryout
1901,Ed High,1,No Change
1901,Ed McFarland,1,No Change
1901,Ed Murphy,1,No Change
1901,Ed Poole,1,No Change
1901,Ed Scott,1,No Change
1901,Ed Siever,1,No Change
1901,Eddie Hickey,1,No Change
1901,Eddie Plank,1,No Change
1901,Elmer Flick,1,No Change
1901,Elmer Smith,2,Utility Tryout
1901,Emil Frisk,1,No Change
1901,Emil Haberer,1,No Change
1901,Emmet Heidrick,1,No Change
1901,Erve Beck,1,No Change
1901,Farmer Burns,1,No Change
1901,Farmer Steelman,2,Utility Tryout
1901,Fielder Jones,1,No Change
1901,Frank Bowerman,1,No Change
1901,Frank Chance,1,No Change
1901,Frank Cross,1,No Change
1901,Frank Dillon,1,No Change
1901,Frank Dupee,1,No Change
1901,Frank Foreman,2,Utility Tryout
1901,Frank Foutz,1,No Change
1901,Frank Gatins,1,No Change
1901,Frank Genins,1,No Change
1901,Frank Isbell,1,No Change
1901,Frank Kitson,1,No Change
1901,Frank Morrissey,1,No Change
1901,Frank Murphy,2,Utility Tryout
