season,pitcher_id,pitch_type,run_len,n_runs
2015.0,112526,CH,2,2
2015.0,112526,CH,1,33
2015.0,112526,CU,1,5
2015.0,112526,FF,3,1
2015.0,112526,FF,2,3
2015.0,112526,FF,1,31
2015.0,112526,IN,1,15
2015.0,112526,SI,2,4
2015.0,112526,SI,1,32
2015.0,112526,SL,4,1
2015.0,112526,SL,2,1
2015.0,112526,SL,1,29
2015.0,115629,CH,3,2
2015.0,115629,CH,2,6
2015.0,115629,CH,1,12
2015.0,115629,CU,1,15
2015.0,115629,FF,2,1
2015.0,115629,FF,1,28
2015.0,115629,IN,1,5
2015.0,115629,SI,2,2
2015.0,115629,SI,1,21
2015.0,115629,SL,2,3
2015.0,115629,SL,1,24
2015.0,136600,CH,1,5
2015.0,136600,CU,1,5
2015.0,136600,EP,1,5
2015.0,136600,FF,1,5
2015.0,136600,IN,1,5
2015.0,136600,SI,1,5
2015.0,136600,SL,1,5
2015.0,150116,CH,3,1
2015.0,150116,CH,2,3
2015.0,150116,CH,1,6
2015.0,150116,CU,2,2
2015.0,150116,CU,1,11
2015.0,150116,FF,2,1
2015.0,150116,FF,1,13
2015.0,150116,IN,1,5
2015.0,150116,SI,1,15
2015.0,150116,SL,2,2
2015.0,150116,SL,1,11
2015.0,150274,SI,2,1
2015.0,150274,SI,1,3
2015.0,150274,SL,1,5
2015.0,150302,CH,3,1
2015.0,150302,CH,2,1
2015.0,150302,CH,1,5
2015.0,150302,IN,1,10
2015.0,150302,PO,1,5
2015.0,150302,SI,1,10
2015.0,150302,SL,1,10
2015.0,150359,CH,2,1
2015.0,150359,CH,1,28
2015.0,150359,FF,2,4
2015.0,150359,FF,1,22
2015.0,150359,IN,1,10
2015.0,150359,KC,2,2
2015.0,150359,KC,1,26
2015.0,150359,PO,1,5
2015.0,150359,SI,2,3
2015.0,150359,SI,1,24
2015.0,217096,CH,1,5
2015.0,217096,CU,1,5
2015.0,217096,FF,1,5
2015.0,217096,SI,2,1
2015.0,217096,SI,1,3
2015.0,218596,CU,3,1
2015.0,218596,CU,2,3
2015.0,218596,CU,1,21
2015.0,218596,FC,2,1
2015.0,218596,FC,1,28
2015.0,218596,FF,2,3
2015.0,218596,FF,1,19
2015.0,218596,FS,2,3
2015.0,218596,FS,1,29
2015.0,218596,PO,1,10
2015.0,218596,SI,2,2
2015.0,218596,SI,1,31
2015.0,234194,CH,1,5
2015.0,234194,FF,2,1
2015.0,234194,FF,1,8
2015.0,234194,SI,3,1
2015.0,234194,SI,1,7
2015.0,234194,SL,2,3
2015.0,234194,SL,1,4
2015.0,276351,CH,1,5
2015.0,276351,FF,3,1
2015.0,276351,FF,2,3
2015.0,276351,FF,1,11
2015.0,276351,IN,1,5
2015.0,276351,SI,1,10
2015.0,276351,SL,2,4
2015.0,276351,SL,1,12
2015.0,276514,CU,1,10
2015.0,276514,FC,1,10
2015.0,276514,FF,2,2
2015.0,276514,FF,1,6
2015.0,276514,FS,1,10
2015.0,276542,CH,3,2
2015.0,276542,CH,2,2
2015.0,276542,CH,1,25
2015.0,276542,FF,2,1
2015.0,276542,FF,1,33
2015.0,276542,IN,1,5
2015.0,276542,SI,1,30
2015.0,276542,SL,2,3
2015.0,276542,SL,1,29
2015.0,279571,CH,2,2
2015.0,279571,CH,1,16
2015.0,279571,CU,2,1
2015.0,279571,CU,1,23
2015.0,279571,FF,1,25
2015.0,279571,IN,1,10
2015.0,279571,PO,1,10
2015.0,279571,SI,2,1
2015.0,279571,SI,1,18
2015.0,279571,SL,2,1
2015.0,279571,SL,1,23
2015.0,279824,CH,1,35
2015.0,279824,CU,2,3
2015.0,279824,CU,1,29
2015.0,279824,FC,2,1
2015.0,279824,FC,1,33
2015.0,279824,FF,3,1
2015.0,279824,FF,2,2
2015.0,279824,FF,1,28
2015.0,279824,IN,1,15
2015.0,279824,SI,2,3
2015.0,279824,SI,1,29
2015.0,282332,CH,3,1
2015.0,282332,CH,2,5
2015.0,282332,CH,1,22
2015.0,282332,FF,2,3
2015.0,282332,FF,1,29
2015.0,282332,IN,1,15
2015.0,282332,SI,1,35
2015.0,282332,SL,2,3
2015.0,282332,SL,1,29
