year,teamID,playerID,player_name,TV_score
1954,ML1,aaronha01,,20.0
1952,CLE,zuverge01,,20.0
1954,DET,zuverge01,,20.0
1955,BAL,zuverge01,,20.0
1956,BAL,zuverge01,,20.0
1957,BAL,zuverge01,,20.0
1958,BAL,zuverge01,,20.0
1959,BAL,zuverge01,,20.0
2015,SEA,zychto01,,20.0
2016,SEA,zychto01,,20.0
1911,SLN,zmiched01,,20.0
2019,CHN,zobribe01,,20.0
1944,SLA,zoldasa01,,20.0
1945,SLA,zoldasa01,,20.0
1970,ATL,aaronha01,,20.0
1971,ATL,aaronha01,,20.0
1972,ATL,aaronha01,,20.0
1973,ATL,aaronha01,,20.0
1974,ATL,aaronha01,,20.0
1975,ML4,aaronha01,,20.0
1976,ML4,aaronha01,,20.0
1962,ML1,aaronto01,,20.0
1963,ML1,aaronto01,,20.0
1968,ATL,aaronto01,,20.0
1969,ATL,aaronto01,,20.0
1942,WS1,zuberbi01,,20.0
1943,NYA,zuberbi01,,20.0
1944,NYA,zuberbi01,,20.0
1966,ATL,aaronha01,,20.0
1967,ATL,aaronha01,,20.0
1968,ATL,aaronha01,,20.0
1969,ATL,aaronha01,,20.0
1946,SLA,zoldasa01,,20.0
1947,SLA,zoldasa01,,20.0
1948,CLE,zoldasa01,,20.0
1948,SLA,zoldasa01,,20.0
1949,CLE,zoldasa01,,20.0
1950,CLE,zoldasa01,,20.0
1951,PHA,zoldasa01,,20.0
1952,PHA,zoldasa01,,20.0
1938,CLE,zuberbi01,,20.0
2000,OAK,zitoba01,,20.0
2001,OAK,zitoba01,,20.0
2002,OAK,zitoba01,,20.0
2003,OAK,zitoba01,,20.0
1970,ATL,aaronto01,,20.0
1971,ATL,aaronto01,,20.0
2004,OAK,zitoba01,,20.0
2005,OAK,zitoba01,,20.0
2006,OAK,zitoba01,,20.0
2007,SFN,zitoba01,,20.0
2008,SFN,zitoba01,,20.0
2009,SFN,zitoba01,,20.0
2010,SFN,zitoba01,,20.0
2012,SFN,zitoba01,,20.0
2018,DET,zimmejo02,,20.0
2020,KCA,zimmeky01,,20.0
2021,KCA,zimmeky01,,20.0
1921,NY1,zinkwa01,,20.0
1920,PIT,zinnji01,,20.0
1921,PIT,zinnji01,,20.0
1922,PIT,zinnji01,,20.0
1929,CLE,zinnji01,,20.0
2021,BAL,zimmebr02,,20.0
2023,BAL,zimmebr02,,20.0
1999,TEX,zimmeje02,,20.0
2000,TEX,zimmeje02,,20.0
2001,TEX,zimmeje02,,20.0
2009,WAS,zimmejo02,,20.0
2010,WAS,zimmejo02,,20.0
2011,WAS,zimmejo02,,20.0
2012,WAS,zimmejo02,,20.0
2013,WAS,zimmejo02,,20.0
2014,WAS,zimmejo02,,20.0
2015,WAS,zimmejo02,,20.0
2016,DET,zimmejo02,,20.0
2008,OAK,zieglbr01,,20.0
2009,OAK,zieglbr01,,20.0
2010,OAK,zieglbr01,,20.0
2011,ARI,zieglbr01,,20.0
2021,CHN,abbotco01,,20.0
2011,OAK,zieglbr01,,20.0
2012,ARI,zieglbr01,,20.0
2013,ARI,zieglbr01,,20.0
2014,ARI,zieglbr01,,20.0
2015,ARI,zieglbr01,,20.0
2016,ARI,zieglbr01,,20.0
2016,BOS,zieglbr01,,20.0
2017,MIA,zieglbr01,,20.0
2018,ARI,zieglbr01,,20.0
2018,MIA,zieglbr01,,20.0
1970,MIN,zeppbi01,,20.0
2000,SFN,zerbech01,,20.0
2001,SFN,zerbech01,,20.0
1997,CHA,abbotje01,,20.0
1998,CHA,abbotje01,,20.0
2000,CHA,abbotje01,,20.0
2001,FLO,abbotje01,,20.0
1993,OAK,abbotku01,,20.0
1994,FLO,abbotku01,,20.0
1995,FLO,abbotku01,,20.0
1996,FLO,abbotku01,,20.0
1997,FLO,abbotku01,,20.0
1998,COL,abbotku01,,20.0
1998,OAK,abbotku01,,20.0
1999,COL,abbotku01,,20.0
2000,NYN,abbotku01,,20.0
2002,SFN,zerbech01,,20.0
2003,SFN,zerbech01,,20.0
2021,KCA,zerpaan01,,20.0
2022,KCA,zerpaan01,,20.0
2023,KCA,zerpaan01,,20.0
2024,KCA,zerpaan01,,20.0
2019,TOR,zeuchtj01,,20.0
2020,TOR,zeuchtj01,,20.0
2018,CHN,zastrro01,,20.0
2000,SEA,abbotpa01,,20.0
2023,PIT,zastrro01,,20.0
2024,MIL,zastrro01,,20.0
2009,ARI,zavadcl01,,20.0
2023,ARI,zavalse01,,20.0
2024,LAA,zeferry01,,20.0
2013,HOU,zeidjo01,,20.0
2002,COL,zeileto01,,20.0
1914,BOS,zeisema01,,20.0
1974,CHN,zamoros01,,20.0
1958,SFN,zannido01,,20.0
1961,SFN,zannido01,,20.0
1962,CHA,zannido01,,20.0
1963,CIN,zannido01,,20.0
1965,CIN,zannido01,,20.0
1966,CIN,zannido01,,20.0
1984,PIT,zaskeje01,,20.0
2016,CHN,zastrro01,,20.0
2009,CHN,zambrca01,,20.0
2010,CHN,zambrca01,,20.0
2012,MIA,zambrca01,,20.0
1956,DET,aberal01,,20.0
1957,KC1,aberal01,,20.0
2006,FLO,abercre01,,20.0
2008,HOU,abercre01,,20.0
2001,TBA,abernbr01,,20.0
2002,TBA,abernbr01,,20.0
1995,PHI,abbotky01,,20.0
2001,TBA,zambrvi01,,20.0
2003,TBA,zambrvi01,,20.0
2004,NYN,zambrvi01,,20.0
2004,TBA,zambrvi01,,20.0
2005,NYN,zambrvi01,,20.0
1913,DET,zamloca01,,20.0
2018,NYN,zamorda01,,20.0
2019,NYN,zamorda01,,20.0
1983,CAL,zahnge01,,20.0
1984,CAL,zahnge01,,20.0
1985,CAL,zahnge01,,20.0
1923,WS1,zahnipa01,,20.0
1960,WS1,abernte02,,20.0
1963,CLE,abernte02,,20.0
1966,ATL,abernte02,,20.0
1924,WS1,zahnipa01,,20.0
1925,BOS,zahnipa01,,20.0
2002,CHN,zambrca01,,20.0
2003,CHN,zambrca01,,20.0
2004,CHN,zambrca01,,20.0
2005,CHN,zambrca01,,20.0
2006,CHN,zambrca01,,20.0
2007,CHN,zambrca01,,20.0
2008,CHN,zambrca01,,20.0
1987,SDN,abnersh01,,20.0
2005,MIN,abernbr01,,20.0
1973,LAN,zahnge01,,20.0
1974,LAN,zahnge01,,20.0
1977,MIN,zahnge01,,20.0
1978,MIN,zahnge01,,20.0
1979,MIN,zahnge01,,20.0
1980,MIN,zahnge01,,20.0
1982,CAL,zahnge01,,20.0
1976,CIN,zachrpa01,,20.0
1977,NYN,zachrpa01,,20.0
1992,CHA,abnersh01,,20.0
1954,BAL,abramca01,,20.0
1955,BAL,abramca01,,20.0
1956,CHA,abramca01,,20.0
1969,CHN,abernte02,,20.0
1978,NYN,zachrpa01,,20.0
1979,NYN,zachrpa01,,20.0
1980,NYN,zachrpa01,,20.0
1982,NYN,zachrpa01,,20.0
1983,LAN,zachrpa01,,20.0
1984,LAN,zachrpa01,,20.0
1985,PHI,zachrpa01,,20.0
1925,WS1,zachato01,,20.0
1926,SLA,zachato01,,20.0
1927,SLA,zachato01,,20.0
1927,WS1,zachato01,,20.0
1997,HOU,abreubo01,,20.0
1998,PHI,abreubo01,,20.0
1999,PHI,abreubo01,,20.0
1990,SDN,abnersh01,,20.0
1991,CAL,abnersh01,,20.0
