player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa,pa_or_bf,era,fip,xfip,k9,bb9,hr9,war,wraa,raa_def,raa_bsr,standard_scale,age,last_update_utc,data_version
milb_tmp:carlos_perez:2024,2024,MiLB,OAK,Carlos Perez,0.259803921,0.344017094,0.544117647,0.3764504324445377,105.2712238723936,0.104700854,0.17094017,0.284313726,0.258169934,468.0,468.0,,,,,,,,9.136305618711432,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:elliot_soto:2024,2024,MiLB,LAA,Elliot Soto,0.22361809,0.322510822,0.306532663,0.2964537987998664,61.962454613957455,0.123931623,0.239316239,0.082914573,0.297202797,468.0,468.0,,,,,,,,-24.809957956578334,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jake_lamb:2024,2024,MiLB,PIT,Jake Lamb,0.264044943,0.350241545,0.393258426,0.3351386328683282,96.19429902219524,0.103864734,0.20289855,0.129213483,0.319852941,414.0,414.0,,,,,,,,-2.8043120849325462,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:erik_gonzalez:2024,2024,MiLB,CIN,Erik Gonzalez,0.245977011,0.286637931,0.347126436,0.2857383176170546,63.75060917047204,0.051724137,0.204741379,0.101149425,0.299703264,464.0,464.0,,,,,,,,-22.849172107479983,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jack_lopez:2024,2024,MiLB,LAA,Jack Lopez,0.273901808,0.332552693,0.42118863,0.3349260958631368,86.13681754359433,0.071759259,0.256944444,0.147286822,0.350746268,432.0,432.0,,,,,,,,-7.831741643032149,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:albert_almora_jr.:2024,2024,MiLB,ARI,Albert Almora Jr.,0.292307692,0.348511383,0.438461538,0.3499791799618776,89.12663428257889,0.072916666,0.140625,0.146153846,0.329493087,576.0,576.0,,,,,,,,-2.5805150558420613,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:andrew_velazquez:2024,2024,MiLB,ATL,Andrew Velazquez,0.242424242,0.297644539,0.393939393,0.3080843861914804,80.62354422391752,0.071881606,0.33192389,0.151515151,0.339768339,473.0,473.0,,,,,,,,-14.205443128127676,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jamie_westbrook:2024,2024,MiLB,BOS,Jamie Westbrook,0.276536312,0.369047619,0.44972067,0.366273222934632,114.55357021947545,0.112941176,0.169411764,0.173184358,0.310714285,425.0,425.0,,,,,,,,8.497102098491558,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:mark_payton:2024,2024,MiLB,CHW,Mark Payton,0.309352517,0.383157894,0.462829736,0.3771899406668506,114.75667988320528,0.110647181,0.169102296,0.153477219,0.359516616,479.0,479.0,,,,,,,,14.072277644635731,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:sergio_alcantara:2024,2024,MiLB,ARI,Sergio Alcantara,0.271393643,0.388211382,0.415647921,0.367659060935664,101.59427275012771,0.158536585,0.184959349,0.144254278,0.329073482,492.0,492.0,,,,,,,,6.227351481373378,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jason_vosler:2024,2024,MiLB,SEA,Jason Vosler,0.302575107,0.370936902,0.572961373,0.4018003590033885,133.19169878418273,0.087786259,0.215648854,0.270386266,0.337423312,524.0,524.0,,,,,,,,22.27386212697037,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:eddy_alvarez:2024,2024,MiLB,BOS,Eddy Alvarez,0.24671916,0.348993288,0.461942257,0.3598312300857015,110.42480085386848,0.107929515,0.240088105,0.215223097,0.294573643,454.0,454.0,,,,,,,,6.562525449583463,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:michael_chavis:2024,2024,MiLB,SEA,Michael Chavis,0.257352941,0.332603938,0.44362745,0.3415954824586272,93.34346931333889,0.078774617,0.216630196,0.186274509,0.301694915,457.0,457.0,,,,,,,,-2.3146728112006696,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:myles_straw:2024,2024,MiLB,CLE,Myles Straw,0.239631336,0.321138211,0.329493087,0.2999828128182158,74.41390623032679,0.107070707,0.191919191,0.089861751,0.297058823,495.0,495.0,,,,,,,,-18.31385929882052,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:josh_lester:2024,2024,MiLB,KCR,Josh Lester,0.259079903,0.32688172,0.450363196,0.3509287691885425,114.3990314500816,0.090128755,0.197424892,0.191283293,0.287096774,466.0,466.0,,,,,,,,8.840362774787371,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:scott_kingery:2024,2024,MiLB,PHI,Scott Kingery,0.267818574,0.316,0.48812095,0.3484917989969253,102.5969417703275,0.067326732,0.273267326,0.220302376,0.326732673,505.0,505.0,,,,,,,,2.3766410798298585,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:hoy_park:2024,2024,MiLB,OAK,Hoy Park,0.254189944,0.373549883,0.396648044,0.353254644538081,90.69597263726756,0.15437788,0.225806451,0.1424581,0.322834645,434.0,434.0,,,,,,,,-0.6553935057259757,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:kyle_garlick:2024,2024,MiLB,ARI,Kyle Garlick,0.237037037,0.329052969,0.444444444,0.3381520996170659,81.69499763807985,0.113964686,0.27447833,0.207407407,0.288184438,623.0,623.0,,,,,,,,-9.472055397489395,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:brett_sullivan:2024,2024,MiLB,SDP,Brett Sullivan,0.262626262,0.346578366,0.484848484,0.3610745399399141,95.48550853117644,0.10816777,0.132450331,0.222222222,0.269349845,453.0,453.0,,,,,,,,2.5278995345045985,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:edwin_rios:2024,2024,MiLB,CIN,Edwin Rios,0.286111111,0.384798099,0.547222222,0.4034453708874552,139.19081642549523,0.133016627,0.277909738,0.261111111,0.363228699,421.0,421.0,,,,,,,,21.87122118039824,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:travis_blankenhorn:2024,2024,MiLB,WSN,Travis Blankenhorn,0.238095238,0.32150776,0.498746867,0.3550863301753997,108.67148529789596,0.090507726,0.260485651,0.260651629,0.26848249,453.0,453.0,,,,,,,,4.7001644788287305,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:p.j._higgins:2024,2024,MiLB,CIN,P.J. Higgins,0.258754863,0.320422535,0.385214007,0.31755337324092,84.14135316931144,0.079225352,0.246478873,0.126459144,0.331521739,568.0,568.0,,,,,,,,-12.434665477637669,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:brendon_davis:2024,2024,MiLB,LAD,Brendon Davis,0.228915662,0.346076458,0.36626506,0.3340965052766184,107.45764922647857,0.128772635,0.231388329,0.137349398,0.288135593,497.0,497.0,,,,,,,,2.682785201497597,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:trenton_brooks:2024,2024,MiLB,SFG,Trenton Brooks,0.302114803,0.409876543,0.453172205,0.3892495227448734,132.40359839984384,0.154791154,0.149877149,0.151057402,0.335820895,407.0,407.0,,,,,,,,12.668788422094751,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:cooper_hummel:2024,2024,MiLB,HOU,Cooper Hummel,0.277142857,0.418552036,0.454285714,0.3952494159340858,136.16211163662803,0.178733031,0.201357466,0.177142857,0.34117647,442.0,442.0,,,,,,,,16.162827353862394,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:nate_mondou:2024,2024,MiLB,SDP,Nate Mondou,0.266846361,0.367346938,0.404312668,0.3491747291050087,88.00817112540797,0.124153498,0.200902934,0.137466307,0.330985915,443.0,443.0,,,,,,,,-2.307797242882062,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:daniel_johnson:2024,2024,MiLB,BAL,Daniel Johnson,0.259423503,0.32,0.447893569,0.337606676697731,100.26450231919306,0.074,0.258,0.188470066,0.312703583,500.0,500.0,,,,,,,,-2.325942876738182,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:mike_brosseau:2024,2024,MiLB,NYM,Mike Brosseau,0.262857142,0.355555555,0.417142857,0.3502811322977513,101.94988180693926,0.098765432,0.207407407,0.154285715,0.303149606,405.0,405.0,,,,,,,,2.52903752485542,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:darick_hall:2024,2024,MiLB,PHI,Darick Hall,0.236111111,0.319672131,0.386574074,0.3181877686898894,83.17463644956233,0.102459016,0.227459016,0.150462963,0.280130293,488.0,488.0,,,,,,,,-10.417149212930926,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:carlos_narvaez:2024,2024,MiLB,NYY,Carlos Narvaez,0.253731343,0.369727047,0.411940298,0.3558353016625589,109.49088513942225,0.138957816,0.260545905,0.158208955,0.331838565,403.0,403.0,,,,,,,,4.440875119955711,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:rylan_bannon:2024,2024,MiLB,NYM,Rylan Bannon,0.221198156,0.369202226,0.405529953,0.3546856539653444,104.41461375795988,0.178107606,0.252319109,0.184331797,0.276595744,539.0,539.0,,,,,,,,5.306175614347476,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:charles_leblanc:2024,2024,MiLB,LAA,Charles Leblanc,0.253687315,0.379227053,0.436578171,0.3672111976810575,106.4234088870526,0.164251207,0.24879227,0.182890856,0.324561403,414.0,414.0,,,,,,,,4.613863611980806,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:tristan_gray:2024,2024,MiLB,MIA,Tristan Gray,0.251196172,0.32196162,0.466507177,0.3442404595519434,103.44431129452369,0.087420042,0.257995735,0.215311005,0.303886925,469.0,469.0,,,,,,,,-0.0702683303569555,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:diego_castillo:2024,2024,MiLB,MIN,Diego Castillo,0.261306532,0.363829787,0.396984924,0.3479593302341218,100.10942622207826,0.134042553,0.14893617,0.135678392,0.293209876,470.0,470.0,,,,,,,,1.9967707672084911,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:sandro_fabian:2024,2024,MiLB,TEX,Sandro Fabian,0.270089285,0.343313373,0.462053571,0.3536990323066711,102.40046372608973,0.089820359,0.151696606,0.191964286,0.291316526,501.0,501.0,,,,,,,,-0.5547006252235365,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:taylor_trammell:2024,2024,MiLB,NYY,Taylor Trammell,0.25595238,0.38083538,0.488095238,0.3858283693725998,128.71388989056084,0.154791154,0.267813267,0.232142858,0.322274881,407.0,407.0,,,,,,,,14.979650934580498,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:eguy_rosario:2024,2024,MiLB,SDP,Eguy Rosario,0.262711864,0.360774818,0.531073446,0.3836672925198626,109.68183789380736,0.123486682,0.21307506,0.268361582,0.29032258,413.0,413.0,,,,,,,,10.765138347854649,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:bobby_dalbec:2024,2024,MiLB,BOS,Bobby Dalbec,0.252077562,0.336585365,0.479224376,0.3578709721565246,109.16844228960568,0.112195121,0.360975609,0.227146814,0.364102564,410.0,410.0,,,,,,,,5.2355516711066965,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:bligh_madris:2024,2024,MiLB,DET,Bligh Madris,0.221917808,0.323113207,0.443835616,0.3392787097759966,101.76849760134482,0.123543123,0.258741258,0.221917808,0.260504201,429.0,429.0,,,,,,,,-1.3789833512154688,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:j.c._escarra:2024,2024,MiLB,NYY,J.C. Escarra,0.26056338,0.354969574,0.4342723,0.3576258894879726,121.10337586195976,0.111561866,0.137931034,0.17370892,0.283667621,493.0,493.0,,,,,,,,12.173525115774096,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:matthew_batten:2024,2024,MiLB,SDP,Matthew Batten,0.25052192,0.325367647,0.375782881,0.3165097333230147,67.48287049596183,0.093406593,0.203296703,0.125260961,0.300546448,546.0,546.0,,,,,,,,-19.01584922786693,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:brewer_hicklen:2024,2024,MiLB,MIL,Brewer Hicklen,0.245783132,0.36272545,0.469879518,0.3676473397401071,118.66283651559368,0.122244488,0.278557114,0.224096386,0.308880308,499.0,499.0,,,,,,,,10.566090764712726,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:seth_beer:2024,2024,MiLB,PIT,Seth Beer,0.277310924,0.353960396,0.431372549,0.3556492920264159,116.73621707630872,0.076543209,0.212345679,0.154061625,0.332061068,405.0,405.0,,,,,,,,8.391549343687986,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:drew_waters:2024,2024,MiLB,KCR,Drew Waters,0.290076335,0.378555798,0.493638676,0.3849246723646669,124.20248224308764,0.115973741,0.26477024,0.203562341,0.382575757,457.0,457.0,,,,,,,,16.464849490019184,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:cj_alexander:2024,2024,MiLB,KCR,CJ Alexander,0.302139037,0.360975609,0.558823529,0.3967271845515181,129.65543220393948,0.07542579,0.206812652,0.256684492,0.346863468,411.0,411.0,,,,,,,,18.56262916987037,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:dermis_garcia:2024,2024,MiLB,WSN,Dermis Garcia,0.18230563,0.274231678,0.332439678,0.2823385289777512,79.40370849820685,0.103773584,0.299528301,0.150134048,0.23076923,424.0,424.0,,,,,,,,-11.86682860288903,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:alejo_lopez:2024,2024,MiLB,ATL,Alejo Lopez,0.306569343,0.391949152,0.396593673,0.3645479516205141,116.81188604348986,0.09936575,0.135306553,0.09002433,0.353623188,473.0,473.0,,,,,,,,8.75520130650722,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:luken_baker:2024,2024,MiLB,STL,Luken Baker,0.231382978,0.345132743,0.534574468,0.3758031202687157,119.780687270698,0.148230088,0.243362831,0.30319149,0.228215767,452.0,452.0,,,,,,,,12.74015315332366,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:griffin_conine:2024,2024,MiLB,MIA,Griffin Conine,0.267532467,0.350114416,0.475324675,0.3644841022840626,119.17261285844424,0.107551487,0.295194508,0.207792208,0.351464435,437.0,437.0,,,,,,,,8.064855577690262,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:andres_chaparro:2024,2024,MiLB,WSN,Andres Chaparro,0.328358208,0.404814004,0.572139303,0.4214869902684138,135.7057101628174,0.107221006,0.179431072,0.243781095,0.364548494,457.0,457.0,,,,,,,,27.81211164468137,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
