game_pk,team,hits,runs,hr,so_p,bb_p
778485,SD,10,7,1,16,3
778485,CLE,2,0,0,3,7
778486,SEA,1,1,0,13,1
778486,DET,8,4,1,7,4
778487,LAD,5,3,1,10,4
778487,ATL,3,1,0,7,0
778488,MIL,7,5,2,9,4
778488,KC,4,0,0,8,3
778489,HOU,7,1,1,13,4
778489,SF,4,3,1,7,0
778490,CWS,9,3,1,7,6
778490,MIN,10,8,1,13,1
778491,TOR,12,5,0,12,4
778491,WSH,6,3,0,7,2
778492,NYY,5,5,3,11,7
778492,AZ,5,7,2,14,3
778493,TB,10,7,1,15,0
778493,PIT,9,0,0,4,6
778494,ATH,8,4,2,8,3
778494,CHC,9,7,2,6,2
778495,STL,11,7,1,6,2
778495,LAA,10,9,0,9,3
778497,MIA,3,4,1,6,1
778497,NYM,5,2,1,9,1
778498,CIN,4,0,0,6,4
778498,TEX,4,1,1,8,0
