year,metric,value,kind,league
1876,HR,40.0,batting,MLB
1877,HR,24.0,batting,MLB
1878,HR,23.0,batting,MLB
1879,HR,58.0,batting,MLB
1880,HR,62.0,batting,MLB
1881,HR,76.0,batting,MLB
1882,HR,126.0,batting,MLB
1883,HR,124.0,batting,MLB
1884,HR,321.0,batting,MLB
1885,HR,174.0,batting,MLB
1886,HR,249.0,batting,MLB
1887,HR,383.0,batting,MLB
1888,HR,333.0,batting,MLB
1889,HR,371.0,batting,MLB
1890,HR,257.0,batting,MLB
1891,HR,294.0,batting,MLB
1892,HR,417.0,batting,MLB
1893,HR,460.0,batting,MLB
1894,HR,629.0,batting,MLB
1895,HR,488.0,batting,MLB
1896,HR,404.0,batting,MLB
1897,HR,368.0,batting,MLB
1898,HR,299.0,batting,MLB
1899,HR,352.0,batting,MLB
1900,HR,254.0,batting,MLB
1901,HR,455.0,batting,MLB
1902,HR,354.0,batting,MLB
1903,HR,335.0,batting,MLB
1904,HR,331.0,batting,MLB
1905,HR,338.0,batting,MLB
1906,HR,261.0,batting,MLB
1907,HR,244.0,batting,MLB
1908,HR,267.0,batting,MLB
1909,HR,259.0,batting,MLB
1910,HR,361.0,batting,MLB
1911,HR,514.0,batting,MLB
1912,HR,442.0,batting,MLB
1913,HR,470.0,batting,MLB
1914,HR,415.0,batting,MLB
1915,HR,385.0,batting,MLB
1916,HR,383.0,batting,MLB
1917,HR,335.0,batting,MLB
1918,HR,235.0,batting,MLB
1919,HR,447.0,batting,MLB
1920,HR,630.0,batting,MLB
1921,HR,937.0,batting,MLB
1922,HR,1055.0,batting,MLB
1923,HR,980.0,batting,MLB
1924,HR,896.0,batting,MLB
1925,HR,1169.0,batting,MLB
1926,HR,863.0,batting,MLB
1927,HR,922.0,batting,MLB
1928,HR,1093.0,batting,MLB
1929,HR,1349.0,batting,MLB
1930,HR,1565.0,batting,MLB
1931,HR,1069.0,batting,MLB
1932,HR,1358.0,batting,MLB
1933,HR,1067.0,batting,MLB
1934,HR,1344.0,batting,MLB
1935,HR,1325.0,batting,MLB
1936,HR,1364.0,batting,MLB
1937,HR,1430.0,batting,MLB
1938,HR,1475.0,batting,MLB
1939,HR,1445.0,batting,MLB
1940,HR,1571.0,batting,MLB
1941,HR,1331.0,batting,MLB
1942,HR,1071.0,batting,MLB
1943,HR,905.0,batting,MLB
1944,HR,1034.0,batting,MLB
1945,HR,1007.0,batting,MLB
1946,HR,1215.0,batting,MLB
1947,HR,1565.0,batting,MLB
1948,HR,1555.0,batting,MLB
1949,HR,1704.0,batting,MLB
1950,HR,2073.0,batting,MLB
1951,HR,1863.0,batting,MLB
1952,HR,1701.0,batting,MLB
1953,HR,2076.0,batting,MLB
1954,HR,1937.0,batting,MLB
1955,HR,2224.0,batting,MLB
1956,HR,2294.0,batting,MLB
1957,HR,2202.0,batting,MLB
1958,HR,2240.0,batting,MLB
1959,HR,2250.0,batting,MLB
1960,HR,2128.0,batting,MLB
1961,HR,2730.0,batting,MLB
1962,HR,3001.0,batting,MLB
1963,HR,2704.0,batting,MLB
1964,HR,2762.0,batting,MLB
1965,HR,2688.0,batting,MLB
1966,HR,2743.0,batting,MLB
1967,HR,2299.0,batting,MLB
1968,HR,1995.0,batting,MLB
1969,HR,3119.0,batting,MLB
1970,HR,3429.0,batting,MLB
1971,HR,2863.0,batting,MLB
1972,HR,2534.0,batting,MLB
1973,HR,3102.0,batting,MLB
1974,HR,2649.0,batting,MLB
1975,HR,2698.0,batting,MLB
1976,HR,2235.0,batting,MLB
1977,HR,3644.0,batting,MLB
1978,HR,2956.0,batting,MLB
1979,HR,3433.0,batting,MLB
1980,HR,3087.0,batting,MLB
1981,HR,1781.0,batting,MLB
1982,HR,3379.0,batting,MLB
1983,HR,3301.0,batting,MLB
1984,HR,3258.0,batting,MLB
1985,HR,3602.0,batting,MLB
1986,HR,3813.0,batting,MLB
1987,HR,4458.0,batting,MLB
1988,HR,3180.0,batting,MLB
1989,HR,3083.0,batting,MLB
1990,HR,3317.0,batting,MLB
1991,HR,3383.0,batting,MLB
1992,HR,3038.0,batting,MLB
1993,HR,4030.0,batting,MLB
1994,HR,3306.0,batting,MLB
1995,HR,4081.0,batting,MLB
1996,HR,4962.0,batting,MLB
1997,HR,4640.0,batting,MLB
1998,HR,5064.0,batting,MLB
1999,HR,5528.0,batting,MLB
2000,HR,5693.0,batting,MLB
2001,HR,5458.0,batting,MLB
2002,HR,5059.0,batting,MLB
2003,HR,5207.0,batting,MLB
2004,HR,5451.0,batting,MLB
2005,HR,5017.0,batting,MLB
2006,HR,5386.0,batting,MLB
2007,HR,4957.0,batting,MLB
2008,HR,4878.0,batting,MLB
2009,HR,5042.0,batting,MLB
2010,HR,4613.0,batting,MLB
2011,HR,4552.0,batting,MLB
2012,HR,4934.0,batting,MLB
2013,HR,4661.0,batting,MLB
2014,HR,4186.0,batting,MLB
2015,HR,4909.0,batting,MLB
2016,HR,5610.0,batting,MLB
2017,HR,6105.0,batting,MLB
2018,HR,5585.0,batting,MLB
2019,HR,6776.0,batting,MLB
2020,HR,2304.0,batting,MLB
2021,HR,5944.0,batting,MLB
